Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
João Gomes,br BRA,MF,24-248,6.7,20,14,10,10,0,14,31,45.2,17,10,2,8,7,27,15,0,Matches
Emmanuel Agbadou,ci CIV,DF,28-123,5.8,14,8,7,6,1,9,13,69.2,4,11,10,1,5,19,34,2,Matches
Marshall Munetsi,zw ZIM,"FW,MF",29-118,5.8,11,5,6,2,3,7,15,46.7,8,7,2,5,2,13,13,0,Matches
André,br BRA,MF,24-094,4.9,14,6,7,4,3,7,15,46.7,8,6,2,4,5,19,10,2,Matches
Toti Gomes,pt POR,DF,26-275,4.3,7,4,7,0,0,5,6,83.3,1,1,1,0,3,10,17,0,Matches
Hugo Bueno,es ESP,"DF,MF",23-030,4.9,19,11,11,6,2,10,15,66.7,5,5,1,4,9,28,12,0,Matches
Jørgen Strand Larsen,no NOR,FW,25-254,4.0,1,1,0,1,0,0,2,0.0,2,2,1,1,1,2,7,0,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-181,4.0,9,4,3,0,6,3,7,42.9,4,3,1,2,2,11,12,0,Matches
José Sá,pt POR,GK,32-274,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Jhon Arias,co COL,FW,28-027,4.0,19,11,8,8,3,9,14,64.3,5,5,0,5,3,22,6,0,Matches
Hwang Hee-chan,kr KOR,FW,29-265,3.1,4,2,1,0,3,2,4,50.0,2,3,0,3,1,5,4,0,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-034,4.0,10,4,8,2,0,8,9,88.9,1,4,1,3,3,13,15,1,Matches
Santiago Bueno,uy URU,DF,26-343,3.4,14,6,11,3,0,8,11,72.7,3,3,1,2,8,22,12,0,Matches
Sam Johnstone,eng ENG,GK,32-207,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-113,2.8,6,4,4,2,0,1,1,100.0,0,2,0,2,2,8,3,1,Matches
Matt Doherty,ie IRL,DF,33-275,2.5,7,3,5,2,0,2,3,66.7,1,3,1,2,2,9,8,0,Matches
Rodrigo Gomes,pt POR,"DF,MF",22-103,1.8,6,5,1,3,2,1,2,50.0,1,1,0,1,2,8,5,0,Matches
Tolu Arokodare,ng NGA,FW,24-329,1.8,1,1,0,1,0,0,0,,0,0,0,0,1,2,6,0,Matches
David Møller Wolfe,no NOR,"MF,DF",23-178,1.6,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,5,0,Matches
Yerson Mosquera,co COL,DF,24-169,1.5,3,0,2,1,0,2,2,100.0,0,2,1,1,3,6,3,0,Matches
Ki-Jana Hoever,nl NED,MF,23-273,1.2,2,2,1,1,0,1,2,50.0,1,0,0,0,1,3,7,0,Matches
Fer López,es ESP,"MF,FW",21-147,1.2,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
Sasa Kalajdzic,at AUT,FW,28-103,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Squad Total,,,26.9,7.0,170,94,94,53,23,91,155,58.7,64,69,24,45,61,231,199,6,
Opponent Total,,,27.0,7.0,112,71,39,53,20,46,90,51.1,44,65,16,49,61,173,191,5,
