Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Elliot Anderson,eng ENG,MF,22-346,7.0,600,554,45,15,3,6,31,4,18,10,7,0,513,1,7,Matches
Nikola Milenković,rs SRB,DF,28-006,7.0,372,366,6,6,0,0,0,0,0,0,0,0,341,0,2,Matches
Matz Sels,be BEL,GK,33-234,7.0,192,139,53,11,0,1,0,0,0,0,0,0,138,0,0,Matches
Neco Williams,wls WAL,"DF,MF",24-188,7.0,424,356,68,6,0,0,37,61,1,1,0,0,343,0,10,Matches
Chris Wood,nz NZL,FW,33-315,5.8,81,80,1,0,0,0,1,0,0,0,0,0,54,0,4,Matches
Dan Ndoye,ch SUI,FW,24-358,5.5,146,142,3,1,1,1,20,1,1,1,0,0,103,1,8,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-264,6.1,328,319,7,3,3,1,9,1,0,0,0,0,265,2,7,Matches
Callum Hudson-Odoi,eng ENG,FW,24-345,4.4,189,178,10,2,0,1,28,4,4,2,0,0,149,1,6,Matches
Ibrahim Sangaré,ci CIV,MF,27-320,3.9,231,225,5,2,0,1,2,3,0,0,0,0,206,1,1,Matches
Morato,br BRA,DF,24-110,3.8,245,235,10,4,0,0,0,3,0,0,0,0,215,0,1,Matches
Murillo,br BRA,DF,23-106,3.4,224,213,11,6,2,3,1,0,0,0,0,0,187,0,1,Matches
Ola Aina,ng NGA,DF,29-010,3.0,157,131,26,5,0,1,13,20,1,0,0,0,125,0,5,Matches
Oleksandr Zinchenko,ua UKR,DF,28-307,2.0,178,150,28,5,1,0,6,23,0,0,0,0,165,0,2,Matches
Dilane Bakwa,fr FRA,"FW,MF",23-053,1.9,96,89,7,2,0,1,13,2,3,3,0,0,72,0,2,Matches
Nicolò Savona,it ITA,"DF,MF",22-213,1.6,71,56,15,3,0,0,2,12,0,0,0,0,54,0,1,Matches
James Mcatee,eng ENG,"MF,FW",23-000,1.4,62,59,3,0,0,0,4,0,1,1,0,0,55,0,2,Matches
Ryan Yates,eng ENG,MF,27-331,1.0,51,46,5,2,0,1,0,0,0,0,0,0,47,0,0,Matches
Jair Cunha,br BRA,DF,20-225,1.0,49,45,3,2,0,0,0,1,0,0,0,0,38,1,1,Matches
Douglas Luiz,br BRA,MF,27-162,0.8,60,54,6,2,0,0,4,0,4,3,0,0,50,0,1,Matches
Nicolás Domínguez,ar ARG,MF,27-112,0.5,38,37,1,1,0,0,0,0,0,0,0,0,37,0,0,Matches
Igor Jesus,br BRA,"FW,MF",24-235,1.2,30,28,1,0,0,0,0,0,0,0,0,0,22,1,2,Matches
Arnaud Kalimuendo,fr FRA,FW,23-271,0.8,29,28,1,0,0,0,2,0,0,0,0,0,23,0,0,Matches
Omari Hutchinson,eng ENG,"FW,MF",21-353,0.6,37,36,1,0,0,0,10,1,0,0,0,0,26,0,1,Matches
Jota Silva,pt POR,FW,26-078,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches
Squad Total,,,26.7,7.0,3893,3569,316,78,10,17,184,136,33,21,7,0,3230,8,64,
Opponent Total,,,26.5,7.0,3025,2720,299,83,11,16,143,112,37,21,11,0,2373,6,63,
