Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Joe Rodon,wls WAL,DF,27-361,7.0,341,328,13,10,0,0,0,3,0,0,0,0,309,0,0,Matches
Pascal Struijk,nl NED,DF,26-068,7.0,412,382,30,13,0,0,0,2,0,0,0,0,384,0,4,Matches
Jayden Bogle,eng ENG,DF,25-083,6.8,238,195,43,5,0,1,11,38,0,0,0,0,180,0,11,Matches
Gabriel Gudmundsson,se SWE,DF,26-172,6.7,309,258,51,1,1,0,15,47,3,2,1,0,238,0,15,Matches
Anton Stach,de GER,MF,26-337,6.7,266,248,17,5,0,3,18,0,12,7,4,0,195,1,12,Matches
Sean Longstaff,eng ENG,MF,27-353,5.3,212,184,27,11,0,0,17,0,11,4,6,1,179,1,4,Matches
Ethan Ampadu,wls WAL,MF,25-034,4.9,307,278,29,13,1,1,5,16,0,0,0,0,253,0,3,Matches
Brenden Aaronson,us USA,FW,24-361,4.4,109,97,10,2,1,0,6,4,0,0,0,0,86,2,2,Matches
Karl Darlow,wls WAL,GK,35-010,4.0,179,137,41,16,0,0,0,0,0,0,0,0,114,1,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-216,4.0,63,62,0,0,1,0,0,0,0,0,0,0,44,1,2,Matches
Noah Okafor,ch SUI,FW,25-147,3.4,73,72,0,0,2,3,6,0,0,0,0,0,53,1,2,Matches
Lucas Perri,br BRA,GK,27-312,3.0,111,85,26,6,0,0,0,0,0,0,0,0,53,0,0,Matches
Daniel James,wls WAL,FW,27-342,2.4,50,50,0,0,0,0,12,0,0,0,0,0,23,0,1,Matches
Wilfried Gnonto,it ITA,FW,21-347,2.1,71,71,0,0,0,0,4,0,0,0,0,0,55,0,2,Matches
Ilia Gruev,bg BUL,MF,25-165,2.2,98,94,4,4,0,0,0,0,0,0,0,0,91,0,0,Matches
Ao Tanaka,jp JPN,MF,27-038,2.0,104,102,2,2,0,0,2,0,0,0,0,0,89,0,3,Matches
Joël Piroe,nl NED,"FW,MF",26-077,1.6,37,31,5,0,0,0,0,0,0,0,0,0,30,1,1,Matches
Lukas Nmecha,de GER,FW,26-308,1.7,37,34,3,0,0,0,1,0,0,0,0,0,25,0,1,Matches
Jack Harrison,eng ENG,"FW,DF",28-332,1.5,60,55,5,2,0,0,8,0,2,1,1,0,39,0,2,Matches
James Justin,eng ENG,DF,27-237,0.2,6,5,1,0,0,0,0,1,0,0,0,0,3,0,0,Matches
Sam Byram,eng ENG,DF,32-032,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.0,7.0,3084,2769,307,90,6,8,105,111,28,14,12,1,2444,8,65,
Opponent Total,,,26.6,7.0,3746,3403,336,75,6,10,139,168,21,17,3,0,3084,7,57,
