Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Đorđe Petrović,rs SRB,GK,26-010,7.0,2,0.29,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7.0,30,4.29,21,3,4,1,0,1,5,0.71,3,0,2,0,0,0,Matches
Adrien Truffert,fr FRA,DF,23-332,7.0,12,1.71,10,0,1,0,1,0,1,0.14,1,0,0,0,0,0,Matches
Marcos Senesi,ar ARG,DF,28-161,6.9,14,2.04,12,0,0,1,0,1,3,0.44,3,0,0,0,0,0,Matches
Evanilson,br BRA,FW,26-012,6.8,16,2.34,13,0,0,1,2,0,1,0.15,0,0,0,0,1,0,Matches
Tyler Adams,us USA,MF,26-246,6.7,7,1.04,6,0,0,0,0,1,2,0.3,1,0,0,0,0,1,Matches
Bafodé Diakité,fr FRA,DF,24-285,6.0,4,0.67,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marcus Tavernier,eng ENG,MF,26-210,5.5,18,3.26,16,0,1,0,1,0,1,0.18,1,0,0,0,0,0,Matches
David Brooks,wls WAL,"FW,MF",28-102,5.0,15,2.97,9,2,2,2,0,0,2,0.4,1,1,0,0,0,0,Matches
Alex Scott,eng ENG,MF,22-058,5.0,12,2.41,5,3,0,0,3,1,1,0.2,1,0,0,0,0,0,Matches
Adam Smith,eng ENG,DF,34-172,2.3,4,1.76,3,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
James Hill,eng ENG,DF,23-281,2.9,4,1.38,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Álex Jiménez,es ESP,DF,20-163,1.7,3,1.79,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Justin Kluivert,nl NED,MF,26-166,1.8,7,3.84,4,1,1,0,0,1,1,0.55,1,0,0,0,0,0,Matches
Ryan Christie,sct SCO,MF,30-238,1.7,5,2.94,3,0,0,1,1,0,2,1.18,1,0,0,0,1,0,Matches
Amine Adli,ma MAR,"FW,MF",25-161,1.7,8,4.8,5,0,1,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Veljko Milosavljević,rs SRB,DF,18-112,1.1,2,1.87,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ben Gannon-Doak,sct SCO,FW,19-341,0.3,1,2.9,1,0,0,0,0,0,1,2.9,1,0,0,0,0,0,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-117,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hamed Junior Traorè,ci CIV,MF,25-244,0.2,1,5.29,1,0,0,0,0,0,1,5.29,1,0,0,0,0,0,Matches
Ben Winterburn,eng ENG,MF,21-044,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lewis Cook,eng ENG,MF,28-257,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Julio Soler,ar ARG,FW,20-244,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,7.0,165,23.57,123,10,10,6,10,6,21,3.0,15,1,2,0,2,1,
Opponent Total,,,27.2,7.0,122,17.43,94,10,6,8,2,2,14,2.0,10,1,1,2,0,0,
