Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Moisés Caicedo,ec ECU,MF,23-350,7.0,3,8,4,50.0,1.14,0.57,0.38,0.75,21.0,0,0,0,0.5,0.5,0.06,2.5,2.5,Matches
Enzo Fernández,ar ARG,MF,24-274,6.9,3,10,4,40.0,1.46,0.58,0.2,0.5,14.9,1,1,1,3.7,3.0,0.3,-0.7,-1.0,Matches
João Pedro,br BRA,"FW,MF",24-022,6.5,2,10,3,30.0,1.54,0.46,0.2,0.67,16.1,0,0,0,1.5,1.5,0.15,0.5,0.5,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Neto,pt POR,FW,25-223,5.6,1,8,1,12.5,1.42,0.18,0.13,1.0,16.0,0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
Marc Cucurella,es ESP,DF,27-088,6.0,0,5,1,20.0,0.84,0.17,0.0,0.0,15.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Trevoh Chalobah,eng ENG,DF,26-105,5.3,2,8,2,25.0,1.5,0.37,0.25,1.0,13.5,0,0,0,0.7,0.7,0.09,1.3,1.3,Matches
Reece James,eng ENG,DF,25-314,4.7,0,4,2,50.0,0.85,0.42,0.0,0.0,25.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Estêvão Willian,br BRA,FW,18-177,2.9,1,8,4,50.0,2.73,1.36,0.13,0.25,12.8,0,0,0,1.6,1.6,0.2,-0.6,-0.6,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,3.9,0,1,0,0.0,0.25,0.0,0.0,,6.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,3.5,0,2,0,0.0,0.57,0.0,0.0,,29.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Joshua Acheampong,eng ENG,DF,19-166,2.2,0,1,0,0.0,0.46,0.0,0.0,,4.3,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Jorrel Hato,nl NED,DF,19-225,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jamie Gittens,eng ENG,FW,21-071,1.8,0,5,2,40.0,2.8,1.12,0.0,0.0,23.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Cole Palmer,eng ENG,MF,23-165,1.6,1,9,2,22.2,5.59,1.24,0.11,0.5,20.2,2,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Wesley Fofana,fr FRA,DF,24-305,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Liam Delap,eng ENG,FW,22-252,1.0,0,3,2,66.7,2.93,1.96,0.0,0.0,13.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Andrey Santos,br BRA,MF,21-168,1.9,0,3,1,33.3,1.55,0.52,0.0,0.0,13.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
Alejandro Garnacho,ar ARG,FW,21-109,1.0,0,1,0,0.0,1.05,0.0,0.0,,22.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Benoît Badiashile,fr FRA,DF,24-206,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Facundo Buonanotte,ar ARG,MF,20-299,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tyrique George,eng ENG,FW,19-256,1.5,0,2,2,100.0,1.29,1.29,0.0,0.0,9.3,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Roméo Lavia,be BEL,MF,21-285,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,0,1,0,0.0,5.63,0.0,0.0,,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Squad Total,,,24.4,7.0,13,89,30,33.7,12.71,4.29,0.13,0.4,16.8,4,1,1,10.9,10.1,0.12,2.1,1.9,
Opponent Total,,,26.9,7.0,9,76,22,28.9,10.86,3.14,0.12,0.41,16.5,5,0,0,9.7,9.7,0.13,-0.7,-0.7,
