Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Matthijs de Ligt,nl NED,DF,26-067,7.0,438,44,200,216,24,6,438,2,1,50.0,1,50.0,236,890,389,3,2,0,4,0,256,6,Matches
Bruno Fernandes,pt POR,MF,31-040,7.0,521,21,91,292,146,12,518,9,4,44.4,3,33.3,270,1211,647,12,7,2,5,4,348,21,Matches
Luke Shaw,eng ENG,DF,30-098,6.7,452,32,166,240,48,1,452,4,0,0.0,4,100.0,255,1310,713,8,10,0,1,2,278,7,Matches
Bryan Mbeumo,cm CMR,MF,26-072,6.6,314,1,18,117,181,36,314,10,3,30.0,5,50.0,175,1015,558,21,13,9,22,11,222,64,Matches
Altay Bayındır,tr TUR,GK,27-187,6.0,208,165,207,1,0,0,208,1,1,100.0,0,0.0,142,645,374,0,0,0,2,0,126,0,Matches
Patrick Dorgu,dk DEN,DF,20-357,5.2,281,7,62,107,114,23,281,16,3,18.8,11,68.8,152,782,415,17,8,4,14,7,178,41,Matches
Leny Yoro,fr FRA,DF,19-339,5.0,301,35,149,134,22,7,301,1,0,0.0,1,100.0,171,895,542,5,3,0,3,4,199,3,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,5.0,271,10,41,112,122,25,271,15,6,40.0,9,60.0,159,1071,663,30,15,14,10,4,182,38,Matches
Casemiro,br BRA,MF,33-237,3.6,247,5,53,155,42,6,247,2,1,50.0,1,50.0,119,415,173,0,5,0,3,1,159,6,Matches
Benjamin Šeško,si SVN,FW,22-140,4.3,116,5,11,66,40,18,116,5,1,20.0,4,80.0,52,173,65,3,0,2,6,4,78,17,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,3.9,144,3,19,61,66,12,144,16,7,43.8,9,56.3,95,719,418,14,7,6,8,5,106,17,Matches
Diogo Dalot,pt POR,DF,26-214,3.7,217,13,49,82,86,10,217,6,3,50.0,2,33.3,117,704,412,14,5,5,7,2,130,31,Matches
Mason Mount,eng ENG,MF,26-281,3.0,135,0,9,79,49,13,135,4,2,50.0,2,50.0,71,296,136,5,2,3,6,2,92,12,Matches
Manuel Ugarte,uy URU,MF,24-190,2.7,163,9,31,111,21,0,163,1,0,0.0,1,100.0,72,324,140,4,3,0,3,3,80,3,Matches
Harry Maguire,eng ENG,DF,32-227,2.0,128,11,54,65,9,4,128,0,0,,0,,70,370,147,1,0,0,2,2,82,2,Matches
Noussair Mazraoui,ma MAR,DF,27-338,1.5,121,7,28,59,35,2,121,4,3,75.0,0,0.0,54,270,177,6,3,0,1,1,66,13,Matches
Senne Lammens,be BEL,GK,23-103,1.0,49,40,49,0,0,0,49,0,0,,0,,32,141,54,0,0,0,0,0,25,0,Matches
Kobbie Mainoo,eng ENG,MF,20-182,1.3,89,1,8,59,23,0,89,4,1,25.0,2,50.0,47,315,179,5,2,0,2,3,58,4,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,0.9,51,1,5,19,27,10,51,0,0,,0,,24,69,18,0,0,0,5,2,38,4,Matches
Ayden Heaven,eng ENG,DF,19-026,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.3,7.0,4247,410,1251,1975,1055,185,4244,100,36,36.0,55,55.0,2313,11615,6220,148,85,45,104,57,2703,289,
Opponent Total,,,26.1,7.0,3952,503,1361,1797,832,144,3952,128,46,35.9,71,55.5,2058,9883,4843,95,64,25,115,61,2367,210,
