Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Joachim Andersen,dk DEN,DF,29-140,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,7.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,0.16,0.06,0.16,Matches
Calvin Bassey,ng NGA,DF,25-291,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,10.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches
Bernd Leno,de GER,GK,33-228,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sander Berge,no NOR,MF,27-246,7,7,598.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,9.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches
Saša Lukić,rs SRB,MF,29-066,7,7,548.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,12.0,18.0,18.0,0.0,0.16,0.16,0.0,0.16,0.16,0.17,0.33,0.16,0.33,Matches
Alex Iwobi,ng NGA,"FW,MF",29-168,7,7,541.0,6.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,1.4,1.8,26.0,38.0,35.0,0.17,0.33,0.5,0.17,0.5,0.07,0.23,0.3,0.07,0.3,Matches
Joshua King,eng ENG,"MF,FW",18-288,7,7,467.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.1,0.9,13.0,16.0,29.0,0.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,0.17,Matches
Ryan Sessegnon,eng ENG,DF,25-153,6,6,476.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,1.2,14.0,18.0,33.0,0.19,0.0,0.19,0.19,0.19,0.09,0.14,0.23,0.09,0.23,Matches
Kenny Tete,nl NED,DF,30-009,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,7.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
Harry Wilson,wls WAL,"FW,MF",28-210,7,5,439.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,5.0,9.0,34.0,0.21,0.0,0.21,0.21,0.21,0.14,0.02,0.17,0.14,0.17,Matches
Rodrigo Muniz,br BRA,FW,24-167,5,4,316.0,3.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,0.0,2.0,7.0,0.28,0.28,0.57,0.28,0.57,0.27,0.08,0.34,0.27,0.34,Matches
Timothy Castagne,be BEL,"DF,FW",29-317,5,4,307.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,5.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,Matches
