Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Tijjani Reijnders,nl NED,MF,27-081,6.7,421,12,58,214,153,16,421,21,11,52.4,7,33.3,277,1459,730,18,21,3,9,9,340,25,Matches
Erling Haaland,no NOR,FW,25-089,6.6,152,15,23,59,72,44,152,6,3,50.0,2,33.3,75,322,200,10,4,7,10,4,104,21,Matches
Rúben Dias,pt POR,DF,28-157,6.1,455,42,177,259,19,1,455,3,1,33.3,1,33.3,316,1383,724,5,4,0,0,1,354,0,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,4.4,321,17,87,159,78,7,321,8,3,37.5,5,62.5,160,797,464,11,12,1,8,7,200,15,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,4.3,210,2,22,76,114,31,210,36,18,50.0,15,41.7,163,1508,967,44,14,19,19,14,172,45,Matches
Bernardo Silva,pt POR,MF,31-069,4.1,249,11,62,110,77,8,249,8,0,0.0,7,87.5,146,755,287,7,5,3,10,8,161,21,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,4.0,204,1,15,70,124,20,204,21,12,57.1,7,33.3,143,787,366,13,9,11,8,6,160,46,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4.0,120,94,120,0,0,0,120,0,0,,0,,77,306,131,0,0,0,0,0,66,0,Matches
Phil Foden,eng ENG,MF,25-143,3.9,265,5,52,106,109,10,265,5,2,40.0,2,40.0,169,529,214,4,5,0,2,2,194,17,Matches
Joško Gvardiol,hr CRO,DF,23-268,3.8,316,40,112,176,29,1,316,4,1,25.0,3,75.0,205,1000,582,3,8,0,3,1,219,0,Matches
Rodri,es ESP,MF,29-118,3.2,275,16,80,154,42,1,275,5,3,60.0,1,20.0,164,548,275,4,4,0,2,2,198,5,Matches
Nicolás González,es ESP,MF,23-288,3.9,328,10,60,214,56,3,328,9,6,66.7,1,11.1,191,839,420,4,5,1,3,2,243,5,Matches
Matheus Nunes,pt POR,DF,27-052,3.7,337,25,82,170,86,3,337,5,3,60.0,2,40.0,205,954,500,12,12,0,4,1,234,13,Matches
James Trafford,eng ENG,GK,23-008,3.0,132,114,132,0,0,0,132,1,1,100.0,0,0.0,84,343,127,0,0,0,0,0,72,0,Matches
John Stones,eng ENG,DF,31-143,2.9,240,27,118,110,15,1,240,2,2,100.0,0,0.0,155,846,392,2,1,0,2,0,180,2,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,2.5,177,19,88,70,19,0,177,3,2,66.7,1,33.3,85,403,196,2,3,0,1,1,102,4,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,2.2,164,10,60,65,39,2,164,6,1,16.7,5,83.3,75,385,160,6,2,0,4,2,95,8,Matches
Rico Lewis,eng ENG,DF,20-331,1.9,150,6,37,82,32,7,150,1,0,0.0,0,0.0,88,364,171,2,1,0,3,3,104,9,Matches
Sávio,br BRA,MF,21-191,1.9,110,1,11,36,65,9,110,9,1,11.1,4,44.4,80,531,223,10,0,6,11,4,91,11,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,1.7,73,2,10,29,35,14,73,9,5,55.6,2,22.2,44,265,124,7,0,6,5,6,52,14,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,0.8,74,0,15,34,25,3,74,3,1,33.3,2,66.7,40,205,117,3,3,1,0,4,61,3,Matches
Nathan Aké,nl NED,DF,30-242,1.3,71,4,27,29,15,2,71,1,0,0.0,1,100.0,45,219,122,1,1,0,0,0,50,2,Matches
Squad Total,,,25.6,7.0,4844,473,1448,2222,1204,183,4844,166,76,45.8,68,41.0,2987,14748,7492,168,114,58,104,77,3452,266,
Opponent Total,,,26.6,7.0,3800,463,1287,1626,921,146,3799,94,36,38.3,49,52.1,1949,10109,4855,102,69,25,117,52,2374,196,
