Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Robin Roefs,nl NED,GK,22-274,7.0,1,0,0,0,1,0,0,0,0,0,0,0,20,4,0,100.0,Matches
Granit Xhaka,ch SUI,MF,33-021,7.0,3,0,0,10,9,0,20,9,5,0,0,0,36,21,12,63.6,Matches
Noah Sadiki,cd COD,MF,20-305,6.9,3,0,0,9,11,0,7,10,6,0,0,0,16,1,5,16.7,Matches
Trai Hume,nir NIR,DF,23-214,6.9,0,0,0,2,6,0,26,9,10,0,0,0,21,19,15,55.9,Matches
Omar Alderete,py PAR,DF,28-296,6.4,1,0,0,5,2,0,4,10,4,0,0,0,23,15,12,55.6,Matches
Chemsdine Talbi,ma MAR,FW,20-162,5.6,0,0,0,1,0,0,20,0,2,0,0,0,17,0,4,0.0,Matches
Nordi Mukiele,fr FRA,DF,27-351,5.0,0,0,0,4,4,0,6,5,13,0,0,0,14,12,8,60.0,Matches
Reinildo Mandava,mz MOZ,DF,31-270,4.4,1,1,0,4,9,0,6,6,6,0,1,0,13,9,7,56.3,Matches
Wilson Isidor,fr FRA,FW,25-052,4.2,0,0,0,2,1,2,0,0,2,0,0,0,5,5,12,29.4,Matches
Enzo Le Fée,fr FRA,"FW,MF",25-257,4.2,0,0,0,5,5,0,7,1,6,0,0,0,23,1,3,25.0,Matches
Habib Diarra,sn SEN,MF,21-288,3.8,1,0,0,4,1,0,8,1,0,1,0,0,8,3,2,60.0,Matches
Simon Adingra,ci CIV,FW,23-290,3.0,1,0,0,5,3,3,12,0,3,0,0,0,7,3,5,37.5,Matches
Eliezer Mayenda,es ESP,FW,20-163,2.7,0,0,0,3,3,1,0,0,0,0,0,0,3,4,8,33.3,Matches
Daniel Ballard,nir NIR,DF,26-026,2.5,0,0,0,2,4,0,0,1,2,0,0,0,6,17,8,68.0,Matches
Arthur Masuaku,cd COD,"DF,MF",31-345,1.4,1,0,0,3,0,0,8,2,2,0,0,0,3,1,0,100.0,Matches
Chris Rigg,eng ENG,MF,18-122,1.1,0,0,0,2,0,0,0,0,1,0,0,0,3,1,2,33.3,Matches
Jenson Seelt,nl NED,DF,22-148,1.5,0,0,0,1,1,0,1,0,0,0,0,0,6,5,1,83.3,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-042,1.0,1,0,0,1,2,0,2,1,1,0,0,0,2,1,0,100.0,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-092,0.7,0,0,0,1,0,0,0,1,2,0,0,0,4,1,2,33.3,Matches
Brian Brobbey,nl NED,FW,23-259,0.7,0,0,0,0,2,1,0,0,0,0,0,0,4,2,4,33.3,Matches
Patrick Roberts,eng ENG,"MF,FW",28-255,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,20.0,Matches
Dan Neil,eng ENG,MF,23-309,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.3,7.0,13,1,0,64,65,7,127,57,65,1,1,0,235,126,115,52.3,
Opponent Total,,,27.0,7.0,10,0,0,70,59,7,152,35,57,1,1,0,264,115,126,47.7,
