Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Joe Rodon,wls WAL,DF,27-361,7,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,3.0,26.0,0.0,0.14,0.0,0.14,0.14,0.14,0.06,0.0,0.06,0.06,0.06,Matches
Pascal Struijk,nl NED,DF,26-068,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.09,0.09,0.09,Matches
Jayden Bogle,eng ENG,DF,25-083,7,7,612.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,18.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.04,0.03,0.04,Matches
Gabriel Gudmundsson,se SWE,DF,26-172,7,7,607.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,16.0,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,Matches
Anton Stach,de GER,MF,26-337,7,7,606.0,6.7,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,1.0,1.6,11.0,34.0,19.0,0.15,0.15,0.3,0.15,0.3,0.1,0.14,0.24,0.1,0.24,Matches
Sean Longstaff,eng ENG,MF,27-353,7,5,476.0,5.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.3,1.7,1.0,12.0,8.0,0.19,0.19,0.38,0.19,0.38,0.08,0.25,0.33,0.08,0.33,Matches
Ethan Ampadu,wls WAL,MF,25-034,5,5,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Brenden Aaronson,us USA,FW,24-361,7,4,397.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.7,1.5,7.0,13.0,21.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.33,0.17,0.33,Matches
Karl Darlow,wls WAL,GK,35-010,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-216,5,4,357.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.4,1.8,4.0,6.0,18.0,0.25,0.0,0.25,0.25,0.25,0.34,0.1,0.45,0.34,0.45,Matches
Noah Okafor,ch SUI,FW,25-147,5,4,306.0,3.4,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,0.4,1.6,8.0,10.0,23.0,0.59,0.0,0.59,0.59,0.59,0.34,0.12,0.46,0.34,0.46,Matches
Lucas Perri,br BRA,GK,27-312,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Daniel James,wls WAL,FW,27-342,4,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,8.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12,0.3,0.18,0.3,Matches
Wilfried Gnonto,it ITA,FW,21-347,4,3,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.3,4.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches
Ilia Gruev,bg BUL,MF,25-165,4,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
