Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Marc Guéhi,eng ENG,DF,25-097,7.0,15,11,14,1,0,5,9,55.6,4,0,0,0,8,23,36,0,Matches
Dean Henderson,eng ENG,GK,28-220,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Maxence Lacroix,fr FRA,DF,25-195,7.0,15,9,9,6,0,9,10,90.0,1,13,5,8,10,25,44,1,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7.0,27,16,21,4,2,18,24,75.0,6,11,2,9,8,35,27,1,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7.0,19,11,10,8,1,7,15,46.7,8,6,0,6,10,29,30,0,Matches
Chris Richards,us USA,DF,25-204,7.0,16,12,8,7,1,11,14,78.6,3,14,7,7,9,25,44,1,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,6.7,1,1,1,0,0,0,5,0.0,5,3,1,2,4,5,15,1,Matches
Adam Wharton,eng ENG,MF,21-254,5.0,6,5,3,3,0,2,11,18.2,9,5,1,4,6,12,5,0,Matches
Daichi Kamada,jp JPN,MF,29-074,4.8,19,9,7,8,4,4,9,44.4,5,4,0,4,2,21,4,1,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-235,4.8,5,1,3,1,1,1,5,20.0,4,5,1,4,1,6,7,0,Matches
Will Hughes,eng ENG,MF,30-184,4.6,5,3,0,2,3,5,8,62.5,3,4,3,1,3,8,11,0,Matches
Yeremi Pino,es ESP,MF,22-363,3.4,6,3,4,2,0,3,10,30.0,7,5,1,4,1,7,2,0,Matches
Jefferson Lerma,co COL,MF,30-358,2.1,3,2,3,0,0,1,4,25.0,3,1,0,1,1,4,10,1,Matches
Justin Devenny,nir NIR,"MF,FW",22-007,1.7,7,6,3,4,0,4,8,50.0,4,2,0,2,0,7,1,0,Matches
Eberechi Eze,eng ENG,MF,27-111,0.9,1,1,0,1,0,0,0,,0,1,0,1,0,1,1,0,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-141,0.6,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
Romain Esse,eng ENG,FW,20-158,0.3,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Christantus Uche,ng NGA,MF,22-152,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Nathaniel Clyne,eng ENG,DF,34-196,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Odsonne Édouard,fr FRA,FW,27-275,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.8,7.0,149,93,88,48,13,73,135,54.1,62,76,21,55,63,212,243,6,
Opponent Total,,,26.8,7.0,84,48,28,41,15,28,57,49.1,29,67,21,46,65,149,182,5,
