Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
James Garner,eng ENG,"MF,DF",24-219,7.0,387,320,66,17,1,3,25,30,13,8,1,1,319,1,8,Matches
Jake O'Brien,ie IRL,DF,24-156,7.0,305,220,85,1,2,1,18,84,0,0,0,0,200,0,13,Matches
Jordan Pickford,eng ENG,GK,31-225,7.0,303,219,84,44,0,2,0,0,0,0,0,0,195,0,0,Matches
James Tarkowski,eng ENG,DF,32-333,7.0,312,290,22,8,4,5,1,1,0,0,0,0,249,0,4,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,6.8,327,324,2,1,2,2,7,0,0,0,0,0,283,1,2,Matches
Michael Keane,eng ENG,DF,32-280,6.7,263,254,8,5,0,3,1,0,0,0,0,0,220,1,0,Matches
Iliman Ndiaye,sn SEN,FW,25-226,6.5,177,173,4,3,0,0,8,1,0,0,0,0,136,0,6,Matches
Jack Grealish,eng ENG,FW,30-038,6.2,244,233,9,3,3,0,14,6,0,0,0,0,200,2,12,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6.0,232,199,33,16,2,2,28,1,11,10,0,0,181,0,2,Matches
Beto,gw GNB,FW,27-260,4.7,55,55,0,0,0,0,1,0,0,0,0,0,32,0,0,Matches
Vitaliy Mykolenko,ua UKR,DF,26-142,3.9,205,166,39,6,1,0,13,33,0,0,0,0,148,0,6,Matches
Tim Iroegbunam,eng ENG,MF,22-110,2.7,74,74,0,0,0,1,0,0,0,0,0,0,55,0,1,Matches
Thierno Barry,fr FRA,FW,22-362,2.3,41,41,0,0,0,0,0,0,0,0,0,0,27,0,0,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,1.8,60,56,3,0,1,0,2,0,1,0,0,0,46,1,1,Matches
Tyler Dibling,eng ENG,FW,19-220,0.7,15,15,0,0,0,0,1,0,0,0,0,0,13,0,1,Matches
Merlin Röhl,de GER,MF,23-105,0.3,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
Dwight McNeil,eng ENG,FW,25-330,0.2,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Séamus Coleman,ie IRL,FW,37-007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Harrison Armstrong,eng ENG,FW,18-272,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,7.0,3016,2655,355,104,16,19,119,156,25,18,1,1,2316,6,56,
Opponent Total,,,26.8,7.0,3518,3171,332,74,13,15,107,161,28,14,11,0,2833,15,56,
