Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Karl Darlow,wls WAL,GK,35-010,4,4,360,4.0,6,1.5,17,12,64.7,1,1,2,0,0.0,0,0,0,0,,Matches
Lucas Perri,br BRA,GK,27-312,3,3,270,3.0,5,1.67,8,3,50.0,1,1,1,2,66.7,1,1,0,0,0.0,Matches
Squad Total,,,27.0,7,7,630,7.0,11,1.57,25,15,60.0,2,2,3,2,28.6,1,1,0,0,0.0,
Opponent Total,,,26.6,7,7,630,7.0,7,1.0,24,17,75.0,3,2,2,3,42.9,1,1,0,0,0.0,
