Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Lewis Dunk,eng ENG,DF,33-331,7.0,536,93,298,228,13,9,536,2,1,50.0,0,0.0,290,1334,634,2,1,0,2,1,334,1,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7.0,528,54,240,269,24,6,528,2,0,0.0,0,0.0,350,2486,1743,19,4,1,2,0,373,3,Matches
Bart Verbruggen,nl NED,GK,23-061,7.0,283,207,278,5,0,0,283,1,1,100.0,0,0.0,210,736,356,0,0,0,0,0,189,0,Matches
Yankuba Minteh,gm GAM,FW,21-088,6.6,258,4,33,86,149,41,258,33,19,57.6,12,36.4,168,1463,878,37,13,22,17,8,167,59,Matches
Kaoru Mitoma,jp JPN,FW,28-151,5.6,198,8,24,65,109,13,198,21,8,38.1,11,52.4,123,722,430,13,10,3,12,10,129,37,Matches
Carlos Baleba,cm CMR,MF,21-288,3.9,176,5,47,108,26,0,176,6,3,50.0,2,33.3,92,457,228,4,2,0,8,4,91,4,Matches
Yasin Ayari,se SWE,MF,22-012,6.0,324,17,76,166,86,4,324,16,2,12.5,12,75.0,178,800,332,2,3,0,7,4,210,9,Matches
Danny Welbeck,eng ENG,FW,34-326,4.1,108,2,10,49,51,18,107,5,1,20.0,3,60.0,61,227,59,1,1,1,10,4,77,9,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,4.1,143,11,19,54,71,13,143,12,4,33.3,7,58.3,85,433,178,7,3,5,18,14,97,17,Matches
Joël Veltman,nl NED,DF,33-276,3.6,157,10,56,74,27,3,157,2,0,0.0,0,0.0,64,354,223,5,4,1,4,0,61,2,Matches
Maxim De Cuyper,be BEL,DF,24-300,3.3,197,10,68,87,43,5,197,4,1,25.0,3,75.0,105,346,141,1,1,1,1,4,122,10,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,4.2,216,17,64,92,62,3,216,1,1,100.0,0,0.0,111,749,456,12,5,0,6,3,121,16,Matches
Diego Gómez,py PAR,MF,22-205,3.5,152,6,34,84,40,6,152,6,1,16.7,4,66.7,70,249,131,2,2,0,10,1,81,11,Matches
Mats Wieffer,nl NED,DF,25-336,3.2,216,6,71,89,59,7,216,5,3,60.0,2,40.0,70,388,232,4,5,0,3,4,95,13,Matches
Brajan Gruda,de GER,"MF,FW",21-140,2.5,107,4,16,32,63,10,107,16,6,37.5,9,56.3,69,514,272,8,6,5,8,8,71,26,Matches
Matt O'Riley,dk DEN,MF,24-331,2.0,85,1,13,38,34,7,84,1,0,0.0,1,100.0,38,130,48,0,2,0,6,1,55,11,Matches
Jack Hinshelwood,eng ENG,MF,20-190,1.2,60,2,20,35,6,0,60,0,0,,0,,42,279,146,2,0,0,1,0,48,1,Matches
James Milner,eng ENG,MF,39-287,1.6,88,4,25,44,19,1,87,1,0,0.0,1,100.0,45,163,84,2,1,0,2,0,48,3,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,0.6,16,0,1,6,9,5,16,1,0,0.0,1,100.0,12,72,34,1,1,0,2,2,13,3,Matches
Diego Coppola,it ITA,DF,21-294,0.2,6,3,4,2,0,0,6,0,0,,0,,4,11,2,0,0,0,0,0,3,0,Matches
Squad Total,,,26.1,7.0,3854,464,1397,1613,891,151,3851,135,51,37.8,68,50.4,2187,11913,6607,122,64,39,119,68,2385,235,
Opponent Total,,,26.4,7.0,4157,501,1440,1784,967,148,4156,159,63,39.6,68,42.8,2480,12395,6041,123,87,38,98,70,2698,236,
