Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Đorđe Petrović,rs SRB,GK,26-010,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,2.0,11.0,8.0,3.0,0.43,,8.4,6.3,2.0,0.29,,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,2.0,11.0,8.0,3.0,0.43,,8.4,6.3,2.0,0.29,,Matches
Adrien Truffert,fr FRA,DF,23-332,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,2.0,11.0,8.0,3.0,0.43,,8.4,6.3,2.0,0.29,,Matches
Marcos Senesi,ar ARG,DF,28-161,7,617.0,88.0,97.9,6.9,7,88.0,6,0,,0,2.0,8.0,8.0,0.0,0.0,-20.77,7.6,6.1,1.6,0.23,-2.86,Matches
Evanilson,br BRA,FW,26-012,7,616.0,88.0,97.8,6.8,7,88.0,4,0,,0,2.0,11.0,8.0,3.0,0.44,0.44,8.4,6.2,2.1,0.31,1.1,Matches
Tyler Adams,us USA,MF,26-246,7,603.0,86.0,95.7,6.7,7,86.0,3,0,,0,2.0,7.0,7.0,0.0,0.0,-10.0,7.3,5.8,1.5,0.22,-1.56,Matches
Bafodé Diakité,fr FRA,DF,24-285,6,540.0,90.0,85.7,6.0,6,90.0,6,0,,0,1.83,9.0,7.0,2.0,0.33,-0.67,6.9,5.7,1.2,0.2,-0.64,Matches
Marcus Tavernier,eng ENG,MF,26-210,7,498.0,71.0,79.0,5.5,6,78.0,1,1,31.0,0,2.0,7.0,5.0,2.0,0.36,-0.32,7.0,4.2,2.8,0.5,1.0,Matches
David Brooks,wls WAL,"FW,MF",28-102,7,454.0,65.0,72.1,5.0,6,71.0,0,1,31.0,0,2.0,9.0,4.0,5.0,0.99,2.01,6.5,4.2,2.3,0.46,0.61,Matches
Alex Scott,eng ENG,MF,22-058,7,449.0,64.0,71.3,5.0,6,70.0,1,1,31.0,0,2.0,9.0,4.0,5.0,1.0,2.0,6.9,4.4,2.5,0.51,0.76,Matches
Adam Smith,eng ENG,DF,34-172,3,204.0,68.0,32.4,2.3,3,68.0,1,0,,0,2.0,4.0,3.0,1.0,0.44,0.02,3.5,2.6,0.9,0.42,0.19,Matches
James Hill,eng ENG,DF,23-281,6,260.0,43.0,41.3,2.9,2,73.0,0,4,29.0,1,2.17,2.0,2.0,0.0,0.0,-0.73,3.1,1.2,2.0,0.69,0.69,Matches
Álex Jiménez,es ESP,DF,20-163,4,151.0,38.0,24.0,1.7,2,59.0,0,2,17.0,0,2.0,4.0,3.0,1.0,0.6,0.22,1.4,2.5,-1.1,-0.65,-1.23,Matches
Justin Kluivert,nl NED,MF,26-166,6,164.0,27.0,26.0,1.8,1,59.0,0,5,21.0,0,2.33,4.0,3.0,1.0,0.55,0.16,1.6,2.2,-0.5,-0.29,-0.79,Matches
Ryan Christie,sct SCO,MF,30-238,5,153.0,31.0,24.3,1.7,1,59.0,0,4,24.0,0,2.2,4.0,2.0,2.0,1.18,0.99,1.7,1.8,-0.1,-0.05,-0.44,Matches
Amine Adli,ma MAR,"FW,MF",25-161,5,151.0,30.0,24.0,1.7,1,59.0,0,4,23.0,1,2.2,1.0,2.0,-1.0,-0.6,-1.35,1.3,1.6,-0.3,-0.2,-0.64,Matches
Veljko Milosavljević,rs SRB,DF,18-112,2,96.0,48.0,15.2,1.1,1,90.0,1,1,6.0,2,3.0,3.0,1.0,2.0,1.87,1.71,2.0,0.8,1.2,1.1,0.96,Matches
Ben Gannon-Doak,sct SCO,FW,19-341,2,31.0,16.0,4.9,0.3,0,,0,2,16.0,4,2.0,4.0,0.0,4.0,11.61,11.76,1.0,0.5,0.6,1.61,1.39,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-117,4,24.0,6.0,3.8,0.3,0,,0,4,6.0,3,1.75,1.0,1.0,0.0,0.0,-0.45,0.3,0.3,0.0,0.07,-0.22,Matches
Hamed Junior Traorè,ci CIV,MF,25-244,1,17.0,17.0,2.7,0.2,0,,0,1,17.0,0,0.0,1.0,2.0,-1.0,-5.29,-5.88,0.2,0.4,-0.2,-0.99,-1.31,Matches
Ben Winterburn,eng ENG,MF,21-044,1,7.0,7.0,1.1,0.1,0,,0,1,7.0,0,0.0,0.0,2.0,-2.0,-25.71,-26.44,0.0,0.3,-0.3,-3.95,-4.28,Matches
Lewis Cook,eng ENG,MF,28-257,1,4.0,4.0,0.6,0.0,0,,0,1,4.0,1,3.0,0.0,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,-0.29,Matches
Julio Soler,ar ARG,FW,20-244,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,5,3.0,0.0,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,-0.29,Matches
Julian Araujo,mx MEX,DF,24-066,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Philip Billing,dk DEN,MF,29-129,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Will Dennis,eng ENG,GK,25-100,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Romain Faivre,fr FRA,"FW,MF",27-096,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Remy Rees-Dottin,eng ENG,FW,19-226,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,25.9,7,630.0,90.0,100.0,7.0,77,82.0,44,33,19.0,30,2.0,11.0,8.0,3.0,0.43,,8.4,6.3,2.0,0.29,,
Opponent Total,,,27.2,7,630.0,90.0,100.0,7.0,77,82.0,45,31,28.0,32,0.71,8.0,11.0,-3.0,-0.43,,6.3,8.4,-2.0,-0.29,,
