Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-302,7.0,3,15,7,46.7,2.14,1.0,0.2,0.43,16.6,0,0,0,0.8,0.8,0.06,2.2,2.2,Matches
El Hadji Malick Diouf,sn SEN,DF,20-294,7.0,0,5,1,20.0,0.71,0.14,0.0,0.0,23.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Max Kilman,eng ENG,DF,28-148,7.0,0,2,0,0.0,0.29,0.0,0.0,,4.5,0,0,0,0.4,0.4,0.2,-0.4,-0.4,Matches
Lucas Paquetá,br BRA,"MF,FW",28-052,6.7,2,8,3,37.5,1.19,0.45,0.13,0.33,17.7,0,1,1,1.5,0.7,0.09,0.5,0.3,Matches
Konstantinos Mavropanos,gr GRE,DF,27-311,5.0,0,4,1,25.0,0.8,0.2,0.0,0.0,7.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4,Matches
James Ward-Prowse,eng ENG,MF,30-351,4.6,0,2,0,0.0,0.44,0.0,0.0,,27.5,1,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Mateus Fernandes,pt POR,"MF,FW",21-100,4.4,0,2,0,0.0,0.45,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Niclas Füllkrug,de GER,FW,32-251,4.2,0,8,3,37.5,1.9,0.71,0.0,0.0,9.3,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
Kyle Walker-Peters,eng ENG,DF,28-188,4.4,0,3,1,33.3,0.69,0.23,0.0,0.0,10.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Mads Hermansen,dk DEN,GK,25-099,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Crysencio Summerville,nl NED,"MF,FW",23-353,3.5,0,4,1,25.0,1.15,0.29,0.0,0.0,15.6,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches
Alphonse Areola,fr FRA,GK,32-233,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aaron Wan-Bissaka,cd COD,DF,27-326,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Tomáš Souček,cz CZE,MF,30-233,2.6,0,4,3,75.0,1.55,1.16,0.0,0.0,12.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Nayef Aguerd,ma MAR,DF,29-202,2.0,0,2,0,0.0,1.0,0.0,0.0,,9.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Soungoutou Magassa,fr FRA,MF,22-010,1.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Callum Wilson,eng ENG,FW,33-233,1.9,1,6,4,66.7,3.12,2.08,0.17,0.25,12.0,0,0,0,1.1,1.1,0.18,-0.1,-0.1,Matches
Guido Rodríguez,ar ARG,MF,31-189,0.8,0,1,0,0.0,1.29,0.0,0.0,,23.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Freddie Potts,eng ENG,MF,22-036,1.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,0.6,0,1,0,0.0,1.58,0.0,0.0,,11.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Callum Marshall,nir NIR,FW,20-324,0.3,0,1,0,0.0,3.0,0.0,0.0,,5.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches
Andy Irving,sct SCO,MF,25-158,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Igor,br BRA,DF,27-253,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.3,7.0,6,68,24,35.3,9.71,3.43,0.07,0.21,14.8,1,1,1,6.6,5.8,0.09,-0.6,-0.8,
Opponent Total,,,26.2,7.0,16,97,33,34.0,13.86,4.71,0.15,0.45,14.1,1,1,1,11.1,10.3,0.11,4.9,4.7,
