Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Elliot Anderson,eng ENG,MF,22-346,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,0.71,5.0,12.0,-7.0,-1.0,,6.6,12.4,-5.9,-0.84,,Matches
Nikola Milenković,rs SRB,DF,28-006,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,0.71,5.0,12.0,-7.0,-1.0,,6.6,12.4,-5.9,-0.84,,Matches
Matz Sels,be BEL,GK,33-234,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,0.71,5.0,12.0,-7.0,-1.0,,6.6,12.4,-5.9,-0.84,,Matches
Neco Williams,wls WAL,"DF,MF",24-188,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,0.71,5.0,12.0,-7.0,-1.0,,6.6,12.4,-5.9,-0.84,,Matches
Chris Wood,nz NZL,FW,33-315,7,523.0,75.0,83.0,5.8,7,75.0,0,0,,0,0.71,5.0,7.0,-2.0,-0.34,3.86,5.5,7.5,-2.0,-0.34,2.9,Matches
Dan Ndoye,ch SUI,FW,24-358,7,492.0,70.0,78.1,5.5,7,70.0,1,0,,0,0.71,5.0,8.0,-3.0,-0.55,2.06,4.0,7.3,-3.2,-0.59,1.16,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-264,7,551.0,79.0,87.5,6.1,6,84.0,3,1,45.0,0,0.71,5.0,10.0,-5.0,-0.82,1.46,5.8,11.8,-6.1,-0.99,-1.21,Matches
Callum Hudson-Odoi,eng ENG,FW,24-345,7,398.0,57.0,63.2,4.4,4,77.0,1,3,30.0,0,0.71,4.0,7.0,-3.0,-0.68,0.87,5.0,9.1,-4.1,-0.93,-0.25,Matches
Ibrahim Sangaré,ci CIV,MF,27-320,5,352.0,70.0,55.9,3.9,4,84.0,1,1,15.0,2,1.0,4.0,6.0,-2.0,-0.51,1.11,3.7,5.9,-2.2,-0.56,0.62,Matches
Morato,br BRA,DF,24-110,4,346.0,87.0,54.9,3.8,4,87.0,3,0,,3,0.25,1.0,6.0,-5.0,-1.3,-0.67,3.0,5.7,-2.7,-0.71,0.28,Matches
Murillo,br BRA,DF,23-106,4,306.0,77.0,48.6,3.4,4,77.0,3,0,,1,1.0,4.0,6.0,-2.0,-0.59,0.8,3.5,5.9,-2.4,-0.7,0.26,Matches
Ola Aina,ng NGA,DF,29-010,3,270.0,90.0,42.9,3.0,3,90.0,3,0,,0,1.33,4.0,5.0,-1.0,-0.33,1.17,3.5,4.9,-1.5,-0.49,0.61,Matches
Oleksandr Zinchenko,ua UKR,DF,28-307,2,180.0,90.0,28.6,2.0,2,90.0,2,0,,0,0.5,1.0,2.0,-1.0,-0.5,0.7,2.7,2.5,0.2,0.08,1.28,Matches
Dilane Bakwa,fr FRA,"FW,MF",23-053,4,174.0,44.0,27.6,1.9,2,65.0,0,2,23.0,0,0.25,1.0,4.0,-3.0,-1.55,-0.76,1.5,3.2,-1.7,-0.88,-0.05,Matches
Nicolò Savona,it ITA,"DF,MF",22-213,2,144.0,72.0,22.9,1.6,1,90.0,1,1,54.0,0,0.0,0.0,4.0,-4.0,-2.5,-1.94,0.4,4.1,-3.6,-2.26,-1.85,Matches
James Mcatee,eng ENG,"MF,FW",23-000,4,129.0,32.0,20.5,1.4,1,59.0,0,3,23.0,2,0.25,0.0,5.0,-5.0,-3.49,-3.13,1.4,2.8,-1.5,-1.04,-0.25,Matches
Ryan Yates,eng ENG,MF,27-331,4,91.0,23.0,14.4,1.0,1,63.0,0,3,9.0,3,1.0,0.0,2.0,-2.0,-1.98,-1.14,0.5,1.1,-0.6,-0.61,0.27,Matches
Jair Cunha,br BRA,DF,20-225,1,90.0,90.0,14.3,1.0,1,90.0,1,0,,3,0.0,0.0,2.0,-2.0,-2.0,-1.17,0.2,3.2,-2.9,-2.93,-2.44,Matches
Douglas Luiz,br BRA,MF,27-162,1,75.0,75.0,11.9,0.8,1,75.0,0,0,,3,1.0,1.0,1.0,0.0,0.0,1.14,0.6,0.6,0.0,-0.02,0.93,Matches
Nicolás Domínguez,ar ARG,MF,27-112,1,45.0,45.0,7.1,0.5,1,45.0,0,0,,1,0.0,0.0,1.0,-1.0,-2.0,-1.08,0.4,0.5,-0.1,-0.18,0.71,Matches
Igor Jesus,br BRA,"FW,MF",24-235,6,106.0,18.0,16.8,1.2,0,,0,6,18.0,0,0.83,0.0,4.0,-4.0,-3.4,-2.88,2.0,5.0,-3.0,-2.55,-2.06,Matches
Arnaud Kalimuendo,fr FRA,FW,23-271,5,69.0,14.0,11.0,0.8,0,,0,5,14.0,0,0.4,0.0,2.0,-2.0,-2.61,-1.81,0.9,1.9,-1.0,-1.28,-0.5,Matches
Omari Hutchinson,eng ENG,"FW,MF",21-353,4,57.0,14.0,9.0,0.6,0,,0,4,14.0,2,0.25,0.0,2.0,-2.0,-3.16,-2.37,1.3,3.9,-2.6,-4.11,-3.6,Matches
Jota Silva,pt POR,FW,26-078,1,12.0,12.0,1.9,0.1,0,,0,1,12.0,0,3.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.85,Matches
Zach Abbott,eng ENG,DF,19-158,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Taiwo Awoniyi,ng NGA,FW,28-067,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Willy Boly,ci CIV,DF,34-257,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Angus Gunn,sct SCO,GK,29-269,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
John,br BRA,GK,29-247,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Squad Total,,,26.7,7,630.0,90.0,100.0,7.0,77,82.0,47,30,20.0,33,0.71,5.0,12.0,-7.0,-1.0,,6.6,12.4,-5.9,-0.84,,
Opponent Total,,,26.5,7,630.0,90.0,100.0,7.0,77,82.0,51,26,18.0,37,2.0,12.0,5.0,7.0,1.0,,12.4,6.6,5.9,0.84,,
