Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
James Garner,eng ENG,"MF,DF",24-219,7.0,319,387,82.4,5702,1815,140,154,90.9,143,169,84.6,30,50,60.0,1,0.8,0.7,0.2,8,30,10,4,38,Matches
Jake O'Brien,ie IRL,DF,24-156,7.0,200,305,65.6,3775,1435,88,109,80.7,89,135,65.9,22,43,51.2,0,0.1,0.2,-0.1,2,15,3,3,19,Matches
Jordan Pickford,eng ENG,GK,31-225,7.0,195,303,64.4,6486,4896,25,25,100.0,85,86,98.8,85,192,44.3,0,0.0,0.0,0.0,0,18,1,0,0,Matches
James Tarkowski,eng ENG,DF,32-333,7.0,249,312,79.8,5210,1844,70,78,89.7,138,158,87.3,37,64,57.8,0,0.3,0.4,-0.3,3,22,2,1,22,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,6.8,283,327,86.5,4580,1149,134,148,90.5,129,144,89.6,15,23,65.2,0,0.1,0.3,-0.1,2,21,6,2,38,Matches
Michael Keane,eng ENG,DF,32-280,6.7,220,263,83.7,4656,1583,58,64,90.6,130,141,92.2,32,54,59.3,0,0.1,0.1,-0.1,1,10,0,0,16,Matches
Iliman Ndiaye,sn SEN,FW,25-226,6.5,136,177,76.8,1853,263,83,97,85.6,44,54,81.5,2,4,50.0,1,1.1,1.0,-0.1,11,5,5,2,10,Matches
Jack Grealish,eng ENG,FW,30-038,6.2,200,244,82.0,2957,745,120,131,91.6,63,72,87.5,11,15,73.3,4,2.4,1.9,1.6,17,16,8,2,29,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6.0,181,232,78.0,2972,777,90,104,86.5,72,82,87.8,14,36,38.9,1,1.8,1.4,-0.8,13,23,16,2,34,Matches
Beto,gw GNB,FW,27-260,4.7,32,55,58.2,361,43,23,35,65.7,7,16,43.8,0,0,,0,0.2,0.1,-0.2,2,4,0,0,2,Matches
Vitaliy Mykolenko,ua UKR,DF,26-142,3.9,148,205,72.2,2375,882,84,93,90.3,60,79,75.9,4,23,17.4,0,0.2,0.3,-0.2,2,13,4,0,21,Matches
Tim Iroegbunam,eng ENG,MF,22-110,2.7,55,74,74.3,937,221,25,33,75.8,28,33,84.8,2,3,66.7,0,0.0,0.0,0.0,0,5,0,0,7,Matches
Thierno Barry,fr FRA,FW,22-362,2.3,27,41,65.9,328,27,17,23,73.9,8,14,57.1,0,1,0.0,0,0.0,0.0,0.0,1,0,0,0,2,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,1.8,46,60,76.7,771,89,22,26,84.6,20,25,80.0,4,5,80.0,0,0.0,0.0,0.0,1,2,1,0,5,Matches
Tyler Dibling,eng ENG,FW,19-220,0.7,13,15,86.7,221,19,7,7,100.0,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Merlin Röhl,de GER,MF,23-105,0.3,7,10,70.0,98,39,4,6,66.7,3,4,75.0,0,0,,0,0.1,0.0,-0.1,1,2,0,0,1,Matches
Dwight McNeil,eng ENG,FW,25-330,0.2,5,6,83.3,66,8,4,5,80.0,1,1,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
Séamus Coleman,ie IRL,FW,37-007,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Harrison Armstrong,eng ENG,FW,18-272,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,28.5,7.0,2316,3016,76.8,43348,15835,994,1138,87.3,1026,1220,84.1,258,513,50.3,7,7.4,6.6,-0.4,65,187,56,16,244,
Opponent Total,,,26.8,7.0,2833,3518,80.5,48086,15882,1345,1507,89.3,1191,1352,88.1,217,472,46.0,5,5.7,5.6,-0.7,60,211,55,16,265,
