Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-302,7.0,163,143,18,0,2,1,20,1,3,3,0,0,119,2,11,Matches
El Hadji Malick Diouf,sn SEN,DF,20-294,7.0,306,245,60,2,3,1,28,51,7,6,1,0,223,1,9,Matches
Max Kilman,eng ENG,DF,28-148,7.0,308,286,21,5,0,2,2,0,0,0,0,0,279,1,0,Matches
Lucas Paquetá,br BRA,"MF,FW",28-052,6.7,341,307,32,12,2,3,17,7,9,4,5,0,262,2,10,Matches
Konstantinos Mavropanos,gr GRE,DF,27-311,5.0,236,230,6,6,0,5,0,0,0,0,0,0,208,0,0,Matches
James Ward-Prowse,eng ENG,MF,30-351,4.6,218,190,28,11,0,2,23,2,14,8,5,0,185,0,3,Matches
Mateus Fernandes,pt POR,"MF,FW",21-100,4.4,167,159,8,3,1,1,3,1,1,0,1,0,151,0,1,Matches
Niclas Füllkrug,de GER,FW,32-251,4.2,87,86,1,0,0,1,0,1,0,0,0,0,53,0,4,Matches
Kyle Walker-Peters,eng ENG,DF,28-188,4.4,217,178,39,3,1,0,4,36,0,0,0,0,184,0,4,Matches
Mads Hermansen,dk DEN,GK,25-099,4.0,157,130,27,11,0,0,0,0,0,0,0,0,104,0,0,Matches
Crysencio Summerville,nl NED,"MF,FW",23-353,3.5,103,97,5,3,2,0,3,1,0,0,0,0,89,1,2,Matches
Alphonse Areola,fr FRA,GK,32-233,3.0,106,74,32,8,0,0,0,0,0,0,0,0,68,0,0,Matches
Aaron Wan-Bissaka,cd COD,DF,27-326,2.9,144,113,30,0,0,0,7,30,0,0,0,0,119,1,7,Matches
Tomáš Souček,cz CZE,MF,30-233,2.6,91,90,1,1,0,1,1,0,0,0,0,0,70,0,4,Matches
Nayef Aguerd,ma MAR,DF,29-202,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,Matches
Soungoutou Magassa,fr FRA,MF,22-010,1.8,67,66,1,0,0,1,0,1,0,0,0,0,56,0,3,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,1.4,88,86,2,2,0,0,2,0,0,0,0,0,80,0,0,Matches
Callum Wilson,eng ENG,FW,33-233,1.9,22,22,0,0,0,0,1,0,0,0,0,0,13,0,2,Matches
Guido Rodríguez,ar ARG,MF,31-189,0.8,34,34,0,0,0,1,2,0,0,0,0,0,28,0,1,Matches
Freddie Potts,eng ENG,MF,22-036,1.2,60,58,2,1,0,0,0,1,0,0,0,0,45,0,0,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,0.6,10,10,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches
Callum Marshall,nir NIR,FW,20-324,0.3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Andy Irving,sct SCO,MF,25-158,0.3,23,15,8,2,0,0,5,1,5,3,0,0,17,0,0,Matches
Igor,br BRA,DF,27-253,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,7.0,3068,2733,327,72,11,22,120,135,39,24,12,0,2470,8,62,
Opponent Total,,,26.2,7.0,3648,3334,305,80,13,15,161,116,51,42,3,1,2995,9,59,
