Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7,7,630,7.0,12,1.71,29,17,62.1,2,1,4,1,14.3,2,1,1,0,50.0,Matches
Squad Total,,,25.3,7,7,630,7.0,12,1.71,29,17,62.1,2,1,4,1,14.3,2,1,1,0,50.0,
Opponent Total,,,26.4,7,7,630,7.0,9,1.29,25,15,68.0,4,1,2,1,14.3,2,1,1,0,50.0,
