Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
João Gomes,br BRA,MF,24-248,6.7,3,0,0,17,10,0,5,7,14,0,0,0,36,7,4,63.6,Matches
Emmanuel Agbadou,ci CIV,DF,28-123,5.8,0,0,0,4,2,0,8,5,8,0,0,0,29,15,7,68.2,Matches
Marshall Munetsi,zw ZIM,"FW,MF",29-118,5.8,1,0,0,11,6,4,5,2,5,0,0,0,9,14,16,46.7,Matches
André,br BRA,MF,24-094,4.9,2,0,0,7,10,0,0,5,6,0,0,0,39,1,4,20.0,Matches
Toti Gomes,pt POR,DF,26-275,4.3,1,1,0,3,4,0,3,3,4,0,0,0,22,6,8,42.9,Matches
Hugo Bueno,es ESP,"DF,MF",23-030,4.9,1,0,0,4,2,0,35,9,11,0,0,0,21,3,3,50.0,Matches
Jørgen Strand Larsen,no NOR,FW,25-254,4.0,0,0,0,9,3,1,0,1,1,0,0,0,4,17,16,51.5,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-181,4.0,1,0,0,7,2,0,1,2,4,0,0,0,11,6,3,66.7,Matches
José Sá,pt POR,GK,32-274,4.0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,100.0,Matches
Jhon Arias,co COL,FW,28-027,4.0,0,0,0,5,0,1,20,3,11,0,0,0,16,3,8,27.3,Matches
Hwang Hee-chan,kr KOR,FW,29-265,3.1,0,0,0,5,4,2,6,1,2,0,0,0,2,1,1,50.0,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-034,4.0,0,0,0,0,0,1,16,3,4,0,0,0,23,7,5,58.3,Matches
Santiago Bueno,uy URU,DF,26-343,3.4,1,0,0,5,1,0,3,8,6,0,0,0,11,9,4,69.2,Matches
Sam Johnstone,eng ENG,GK,32-207,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,100.0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-113,2.8,0,0,0,2,8,0,9,2,4,0,0,0,6,0,5,0.0,Matches
Matt Doherty,ie IRL,DF,33-275,2.5,3,0,0,8,2,0,2,2,3,0,0,0,9,5,2,71.4,Matches
Rodrigo Gomes,pt POR,"DF,MF",22-103,1.8,0,0,0,2,1,0,3,2,5,0,0,0,7,2,0,100.0,Matches
Tolu Arokodare,ng NGA,FW,24-329,1.8,0,0,0,2,3,0,0,1,1,0,0,0,2,11,17,39.3,Matches
David Møller Wolfe,no NOR,"MF,DF",23-178,1.6,0,0,0,0,1,0,8,0,2,0,0,0,4,1,1,50.0,Matches
Yerson Mosquera,co COL,DF,24-169,1.5,0,0,0,2,6,0,1,3,0,0,0,0,9,2,4,33.3,Matches
Ki-Jana Hoever,nl NED,MF,23-273,1.2,0,0,0,0,0,0,6,1,2,0,0,0,2,0,1,0.0,Matches
Fer López,es ESP,"MF,FW",21-147,1.2,1,0,0,3,0,0,2,0,1,0,0,0,3,0,0,,Matches
Sasa Kalajdzic,at AUT,FW,28-103,0.2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,66.7,Matches
Squad Total,,,26.9,7.0,14,1,0,96,65,9,133,61,94,0,0,0,284,115,110,51.1,
Opponent Total,,,27.0,7.0,14,0,0,67,95,11,148,61,71,0,0,1,275,110,115,48.9,
