Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Moisés Caicedo,ec ECU,MF,23-350,7.0,13,1.86,12,0,0,1,0,0,2,0.29,2,0,0,0,0,0,Matches
Enzo Fernández,ar ARG,MF,24-274,6.9,21,3.06,16,2,0,0,2,1,4,0.58,2,2,0,0,0,0,Matches
João Pedro,br BRA,"FW,MF",24-022,6.5,14,2.16,12,0,0,2,0,0,3,0.46,2,0,0,1,0,0,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,3,0.5,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Neto,pt POR,FW,25-223,5.6,20,3.54,10,5,2,1,1,1,2,0.35,1,1,0,0,0,0,Matches
Marc Cucurella,es ESP,DF,27-088,6.0,12,2.01,11,0,1,0,0,0,2,0.34,2,0,0,0,0,0,Matches
Trevoh Chalobah,eng ENG,DF,26-105,5.3,8,1.5,5,0,1,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Reece James,eng ENG,DF,25-314,4.7,15,3.18,8,4,1,0,1,1,3,0.64,3,0,0,0,0,0,Matches
Estêvão Willian,br BRA,FW,18-177,2.9,10,3.41,6,0,4,0,0,0,2,0.68,1,0,1,0,0,0,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,3.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,3.5,9,2.58,8,0,0,0,0,1,2,0.57,2,0,0,0,0,0,Matches
Joshua Acheampong,eng ENG,DF,19-166,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jorrel Hato,nl NED,DF,19-225,1.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jamie Gittens,eng ENG,FW,21-071,1.8,6,3.35,4,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Cole Palmer,eng ENG,MF,23-165,1.6,9,5.59,6,0,0,2,1,0,1,0.62,1,0,0,0,0,0,Matches
Wesley Fofana,fr FRA,DF,24-305,1.4,1,0.69,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Liam Delap,eng ENG,FW,22-252,1.0,1,0.98,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Andrey Santos,br BRA,MF,21-168,1.9,5,2.59,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alejandro Garnacho,ar ARG,FW,21-109,1.0,3,3.14,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Benoît Badiashile,fr FRA,DF,24-206,0.7,2,2.73,2,0,0,0,0,0,1,1.36,1,0,0,0,0,0,Matches
Facundo Buonanotte,ar ARG,MF,20-299,0.5,2,4.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tyrique George,eng ENG,FW,19-256,1.5,4,2.59,3,0,0,1,0,0,2,1.29,1,0,0,1,0,0,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Roméo Lavia,be BEL,MF,21-285,0.5,1,1.87,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,24.4,7.0,159,22.71,118,11,9,11,6,4,24,3.43,18,3,1,2,0,0,
Opponent Total,,,26.9,7.0,123,17.57,86,14,2,12,8,1,15,2.14,13,1,0,1,0,0,
