Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,6.9,187,181,6,2,6,3,5,1,0,0,0,0,134,0,7,Matches
Matty Cash,pl POL,DF,28-072,6.7,388,317,70,11,0,2,28,46,13,8,2,0,311,1,9,Matches
Ollie Watkins,eng ENG,FW,29-292,6.6,94,90,3,0,1,0,2,1,0,0,0,0,67,1,3,Matches
John McGinn,sct SCO,"MF,FW",31-000,6.1,246,234,11,5,2,1,21,0,6,4,0,0,195,1,3,Matches
Ezri Konsa,eng ENG,DF,27-360,5.7,398,366,31,21,0,0,2,1,0,0,0,0,379,1,0,Matches
Lucas Digne,fr FRA,DF,32-090,5.4,270,214,56,6,1,0,25,42,8,6,1,0,196,0,17,Matches
Tyrone Mings,eng ENG,DF,32-219,5.3,338,299,38,21,1,0,1,2,0,0,0,0,302,1,0,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,194,170,24,10,1,0,0,0,0,0,0,0,159,0,1,Matches
Youri Tielemans,be BEL,MF,28-164,3.5,235,221,13,10,4,2,7,0,1,0,0,0,195,1,3,Matches
Boubacar Kamara,fr FRA,MF,25-329,3.3,188,183,5,4,2,1,0,0,1,0,0,0,166,0,2,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,3.1,67,65,0,0,0,0,10,0,0,0,0,0,47,2,7,Matches
Lamare Bogarde,nl NED,MF,21-286,3.1,157,153,3,3,0,0,0,0,0,0,0,0,148,1,1,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,3.3,121,113,8,0,1,0,1,2,2,1,0,0,95,0,3,Matches
Pau Torres,es ESP,DF,28-275,2.8,218,196,21,9,0,0,0,0,0,0,0,0,196,1,1,Matches
Donyell Malen,nl NED,FW,26-282,2.6,54,47,5,0,0,0,2,0,3,0,0,0,41,2,2,Matches
Marco Bizot,nl NED,GK,34-222,2.0,67,50,17,3,0,0,0,0,0,0,0,0,46,0,0,Matches
Amadou Onana,be BEL,MF,24-063,1.7,76,74,2,2,0,0,0,0,0,0,0,0,63,0,1,Matches
Ian Maatsen,nl NED,DF,23-222,1.6,137,119,18,1,0,0,14,14,3,0,3,0,113,0,4,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,1.1,62,59,3,0,1,0,3,2,0,0,0,0,53,0,0,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,0.3,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,0.2,8,8,0,0,0,0,3,0,0,0,0,0,3,0,1,Matches
Jadon Sancho,eng ENG,FW,25-207,0.1,18,15,3,0,0,0,2,2,1,0,0,0,15,0,1,Matches
Ross Barkley,eng ENG,MF,31-317,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,28.4,7.0,3536,3187,337,108,20,9,126,113,38,19,6,0,2935,12,66,
Opponent Total,,,27.3,7.0,2666,2368,283,81,16,25,119,101,37,28,3,1,2082,15,58,
