Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Elliot Anderson,eng ENG,MF,22-346,7.0,32,4.57,24,2,2,2,1,1,4,0.57,4,0,0,0,0,0,Matches
Nikola Milenković,rs SRB,DF,28-006,7.0,4,0.57,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matz Sels,be BEL,GK,33-234,7.0,1,0.14,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Neco Williams,wls WAL,"DF,MF",24-188,7.0,13,1.86,12,1,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Chris Wood,nz NZL,FW,33-315,5.8,8,1.38,6,0,1,1,0,0,1,0.17,0,0,1,0,0,0,Matches
Dan Ndoye,ch SUI,FW,24-358,5.5,8,1.46,6,0,1,1,0,0,2,0.36,1,0,1,0,0,0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-264,6.1,24,3.92,21,0,1,2,0,0,1,0.16,1,0,0,0,0,0,Matches
Callum Hudson-Odoi,eng ENG,FW,24-345,4.4,18,4.07,15,1,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Ibrahim Sangaré,ci CIV,MF,27-320,3.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Morato,br BRA,DF,24-110,3.8,1,0.26,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Murillo,br BRA,DF,23-106,3.4,4,1.18,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ola Aina,ng NGA,DF,29-010,3.0,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Oleksandr Zinchenko,ua UKR,DF,28-307,2.0,8,4.0,6,0,0,1,0,1,1,0.5,1,0,0,0,0,0,Matches
Dilane Bakwa,fr FRA,"FW,MF",23-053,1.9,7,3.62,6,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolò Savona,it ITA,"DF,MF",22-213,1.6,1,0.62,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Mcatee,eng ENG,"MF,FW",23-000,1.4,4,2.79,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ryan Yates,eng ENG,MF,27-331,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jair Cunha,br BRA,DF,20-225,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Douglas Luiz,br BRA,MF,27-162,0.8,2,2.4,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Domínguez,ar ARG,MF,27-112,0.5,1,2.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Igor Jesus,br BRA,"FW,MF",24-235,1.2,3,2.52,1,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-271,0.8,2,2.61,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Omari Hutchinson,eng ENG,"FW,MF",21-353,0.6,5,8.04,3,0,1,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Jota Silva,pt POR,FW,26-078,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.7,7.0,147,21.0,119,7,7,9,1,4,10,1.43,8,0,2,0,0,0,
Opponent Total,,,26.5,7.0,147,21.0,91,19,13,14,8,2,19,2.71,11,2,1,2,2,1,
