Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
João Gomes,br BRA,MF,24-248,6.7,14,2.09,13,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Emmanuel Agbadou,ci CIV,DF,28-123,5.8,7,1.2,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marshall Munetsi,zw ZIM,"FW,MF",29-118,5.8,6,1.04,6,0,0,0,0,0,2,0.35,2,0,0,0,0,0,Matches
André,br BRA,MF,24-094,4.9,5,1.02,2,1,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Toti Gomes,pt POR,DF,26-275,4.3,4,0.92,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Hugo Bueno,es ESP,"DF,MF",23-030,4.9,14,2.87,11,1,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jørgen Strand Larsen,no NOR,FW,25-254,4.0,3,0.75,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-181,4.0,8,2.0,7,0,0,1,0,0,1,0.25,0,0,0,1,0,0,Matches
José Sá,pt POR,GK,32-274,4.0,3,0.75,1,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jhon Arias,co COL,FW,28-027,4.0,15,3.76,7,4,2,0,0,2,0,0.0,0,0,0,0,0,0,Matches
Hwang Hee-chan,kr KOR,FW,29-265,3.1,7,2.27,5,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-034,4.0,4,1.01,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Santiago Bueno,uy URU,DF,26-343,3.4,4,1.18,3,0,0,0,1,0,1,0.3,1,0,0,0,0,0,Matches
Sam Johnstone,eng ENG,GK,32-207,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-113,2.8,7,2.46,3,2,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Matt Doherty,ie IRL,DF,33-275,2.5,2,0.8,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Gomes,pt POR,"DF,MF",22-103,1.8,6,3.23,2,0,2,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Tolu Arokodare,ng NGA,FW,24-329,1.8,2,1.1,2,0,0,0,0,0,1,0.55,1,0,0,0,0,0,Matches
David Møller Wolfe,no NOR,"MF,DF",23-178,1.6,2,1.23,2,0,0,0,0,0,1,0.62,1,0,0,0,0,0,Matches
Yerson Mosquera,co COL,DF,24-169,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ki-Jana Hoever,nl NED,MF,23-273,1.2,2,1.7,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fer López,es ESP,"MF,FW",21-147,1.2,6,5.14,5,1,0,0,0,0,1,0.86,1,0,0,0,0,0,Matches
Sasa Kalajdzic,at AUT,FW,28-103,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.9,7.0,121,17.29,88,13,8,3,6,3,7,1.0,6,0,0,1,0,0,
Opponent Total,,,27.0,7.0,154,22.0,121,12,4,5,8,4,27,3.86,22,0,1,1,1,2,
