Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lewis Dunk,eng ENG,DF,33-331,7.0,424,465,91.2,7488,2205,168,173,97.1,229,242,94.6,19,36,52.8,0,0.0,0.0,0.0,1,24,0,0,22,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7.0,384,445,86.3,7812,3380,137,151,90.7,191,208,91.8,52,75,69.3,0,0.0,0.2,0.0,0,57,1,0,53,Matches
Bart Verbruggen,nl NED,GK,23-061,7.0,198,271,73.1,4781,3099,53,53,100.0,96,98,98.0,49,119,41.2,0,0.1,0.0,-0.1,1,5,1,0,0,Matches
Yankuba Minteh,gm GAM,FW,21-088,6.6,96,170,56.5,1492,497,55,71,77.5,25,51,49.0,9,24,37.5,2,2.0,1.2,0.0,12,6,6,5,7,Matches
Kaoru Mitoma,jp JPN,FW,28-151,5.6,106,137,77.4,1326,371,72,85,84.7,28,38,73.7,2,3,66.7,1,1.1,0.3,-0.1,7,5,7,2,13,Matches
Carlos Baleba,cm CMR,MF,21-288,3.9,100,127,78.7,1801,318,47,52,90.4,34,44,77.3,16,24,66.7,0,0.0,0.0,0.0,2,10,1,0,6,Matches
Yasin Ayari,se SWE,MF,22-012,6.0,211,254,83.1,3615,956,97,107,90.7,91,104,87.5,17,29,58.6,0,0.2,0.4,-0.2,5,12,4,1,21,Matches
Danny Welbeck,eng ENG,FW,34-326,4.1,58,75,77.3,759,131,29,36,80.6,22,24,91.7,1,2,50.0,0,0.1,0.4,-0.1,2,6,0,0,4,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,4.1,46,71,64.8,912,315,15,22,68.2,23,27,85.2,6,12,50.0,1,1.2,0.5,-0.2,5,9,4,0,15,Matches
Joël Veltman,nl NED,DF,33-276,3.6,80,108,74.1,1520,659,30,35,85.7,40,47,85.1,9,20,45.0,0,0.0,0.0,0.0,1,11,0,0,14,Matches
Maxim De Cuyper,be BEL,DF,24-300,3.3,136,166,81.9,2403,784,60,67,89.6,66,76,86.8,9,19,47.4,0,0.1,0.6,-0.1,3,9,4,2,12,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,4.2,147,178,82.6,2395,913,65,71,91.5,72,83,86.7,6,12,50.0,0,0.4,0.2,-0.4,2,19,6,4,24,Matches
Diego Gómez,py PAR,MF,22-205,3.5,69,94,73.4,1120,225,34,41,82.9,26,32,81.3,5,9,55.6,0,0.4,0.1,-0.4,2,11,2,1,8,Matches
Mats Wieffer,nl NED,DF,25-336,3.2,138,169,81.7,2361,718,68,75,90.7,58,68,85.3,9,14,64.3,1,0.7,0.5,0.3,3,10,4,1,17,Matches
Brajan Gruda,de GER,"MF,FW",21-140,2.5,49,63,77.8,667,195,30,35,85.7,16,20,80.0,1,5,20.0,1,0.5,0.4,0.5,4,2,3,1,6,Matches
Matt O'Riley,dk DEN,MF,24-331,2.0,51,61,83.6,762,174,29,32,90.6,13,15,86.7,5,7,71.4,0,0.2,0.2,-0.2,4,5,1,1,5,Matches
Jack Hinshelwood,eng ENG,MF,20-190,1.2,46,54,85.2,725,139,24,27,88.9,18,19,94.7,2,4,50.0,0,0.0,0.0,0.0,0,2,1,0,2,Matches
James Milner,eng ENG,MF,39-287,1.6,61,73,83.6,1287,525,25,27,92.6,24,25,96.0,12,20,60.0,0,0.0,0.1,0.0,2,10,2,0,7,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,0.6,4,6,66.7,45,0,3,3,100.0,1,1,100.0,0,1,0.0,1,0.2,0.0,0.8,3,0,0,0,0,Matches
Diego Coppola,it ITA,DF,21-294,0.2,3,3,100.0,71,35,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Squad Total,,,26.1,7.0,2407,2990,80.5,43342,15639,1042,1164,89.5,1074,1223,87.8,230,436,52.8,7,7.4,5.2,-0.4,59,214,47,18,237,
Opponent Total,,,26.4,7.0,2718,3370,80.7,47972,17517,1270,1427,89.0,1122,1270,88.3,271,519,52.2,5,6.2,5.6,-1.2,55,206,44,9,236,
