player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,game_id
Jimmy Butler,34:44,7,14,.500,1,2,.500,16,16,1.000,2,3,5,4,1,0,1,4,31,27.5,+20,202510210LAL
Jonathan Kuminga,32:54,6,11,.545,4,6,.667,1,2,.500,3,6,9,6,1,0,2,3,17,17.2,+4,202510210LAL
Brandin Podziemski,32:32,3,7,.429,1,4,.250,0,0,,1,6,7,2,1,0,1,2,7,6.4,+13,202510210LAL
Stephen Curry,32:04,6,14,.429,3,9,.333,8,8,1.000,0,1,1,4,3,1,2,3,23,19.2,+1,202510210LAL
Draymond Green,28:24,3,6,.500,1,3,.333,1,3,.333,1,6,7,9,1,2,4,5,8,9.4,+20,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Buddy Hield,22:15,6,11,.545,5,10,.500,0,0,,0,1,1,0,1,0,2,0,17,11.0,+5,202510210LAL
Al Horford,20:15,2,7,.286,1,4,.250,0,0,,0,5,5,1,0,0,2,4,5,-0.5,-10,202510210LAL
Will Richard,13:35,2,2,1.000,1,1,1.000,0,0,,1,0,1,1,1,0,0,2,5,6.0,-11,202510210LAL
Gary Payton II,12:04,3,6,.500,0,1,.000,0,0,,1,1,2,1,1,1,3,3,6,2.2,+3,202510210LAL
Quinten Post,8:34,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.9,+5,202510210LAL
Gui Santos,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,202510210LAL
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Jimmy Butler,8:51,2,3,.667,1,1,1.000,7,7,1.000,0,0,0,1,1,0,0,1,12,12.0,+4,202510210LAL
Jonathan Kuminga,8:09,1,3,.333,1,1,1.000,0,0,,0,2,2,2,0,0,1,0,3,2.3,+3,202510210LAL
Brandin Podziemski,8:48,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0.6,+4,202510210LAL
Stephen Curry,8:06,1,3,.333,1,3,.333,0,0,,0,0,0,1,3,0,0,0,3,5.0,+3,202510210LAL
Draymond Green,6:23,0,3,.000,0,2,.000,0,0,,0,3,3,1,1,0,1,0,0,-0.5,+1,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Buddy Hield,4:50,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,1,0,5,3.7,+5,202510210LAL
Al Horford,5:37,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,3,3.6,+5,202510210LAL
Will Richard,2:13,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0.6,0,202510210LAL
Gary Payton II,4:24,0,2,.000,0,0,,0,0,,1,0,1,0,0,1,1,3,0,-2.2,+5,202510210LAL
Quinten Post,,,,,,,,,,,,,,,,,,,,,,202510210LAL
Gui Santos,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,202510210LAL
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Jimmy Butler,8:42,1,3,.333,0,0,,3,3,1.000,1,1,2,1,0,0,1,1,5,3.6,-5,202510210LAL
Jonathan Kuminga,7:36,0,3,.000,0,2,.000,1,2,.500,2,1,3,3,0,0,1,1,1,0.9,-5,202510210LAL
Brandin Podziemski,6:39,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,0,5,4.4,-6,202510210LAL
Stephen Curry,8:07,3,7,.429,1,3,.333,4,4,1.000,0,0,0,0,0,0,1,1,11,5.9,-5,202510210LAL
Draymond Green,7:48,1,1,1.000,0,0,,1,2,.500,1,2,3,1,0,0,3,3,3,0.1,-6,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Buddy Hield,4:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,202510210LAL
Al Horford,4:51,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,2,0,-1.6,+1,202510210LAL
Will Richard,4:50,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+1,202510210LAL
Gary Payton II,2:39,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,0,202510210LAL
Quinten Post,4:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0,202510210LAL
Gui Santos,,,,,,,,,,,,,,,,,,,,,,202510210LAL
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Jimmy Butler,17:33,3,6,.500,1,1,1.000,10,10,1.000,1,1,2,2,1,0,1,2,17,15.6,-1,202510210LAL
Jonathan Kuminga,15:45,1,6,.167,1,3,.333,1,2,.500,2,3,5,5,0,0,2,1,4,3.2,-2,202510210LAL
Brandin Podziemski,15:27,3,5,.600,1,2,.500,0,0,,1,1,2,1,0,0,1,1,7,5.0,-2,202510210LAL
Stephen Curry,16:13,4,10,.400,2,6,.333,4,4,1.000,0,0,0,1,3,0,1,1,14,10.9,-2,202510210LAL
Draymond Green,14:11,1,4,.250,0,2,.000,1,2,.500,1,5,6,2,1,0,4,3,3,-0.4,-5,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Buddy Hield,9:14,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,2,0,5,2.7,+5,202510210LAL
Al Horford,10:28,1,3,.333,1,2,.500,0,0,,0,5,5,0,0,0,0,2,3,2.0,+6,202510210LAL
Will Richard,7:03,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,1.3,+1,202510210LAL
Gary Payton II,7:03,1,3,.333,0,0,,0,0,,1,0,1,0,1,1,1,3,2,0.5,+5,202510210LAL
Quinten Post,4:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0,202510210LAL
Gui Santos,2:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,202510210LAL
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Jimmy Butler,9:02,2,4,.500,0,0,,4,4,1.000,1,0,1,0,0,0,0,0,8,6.7,+12,202510210LAL
Jonathan Kuminga,9:19,5,5,1.000,3,3,1.000,0,0,,0,3,3,0,1,0,0,2,13,12.6,+12,202510210LAL
Brandin Podziemski,9:02,0,2,.000,0,2,.000,0,0,,0,4,4,1,0,0,0,1,0,0.1,+12,202510210LAL
Stephen Curry,8:01,1,1,1.000,0,0,,2,2,1.000,0,1,1,2,0,0,0,2,4,4.6,+9,202510210LAL
Draymond Green,6:04,0,0,,0,0,,0,0,,0,1,1,5,0,0,0,0,0,3.8,+16,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Buddy Hield,6:57,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,0,6,5.0,-1,202510210LAL
Al Horford,5:56,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-1.1,-6,202510210LAL
Will Richard,2:41,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-2,202510210LAL
Gary Payton II,2:58,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,2,0,2,-1.0,-2,202510210LAL
Quinten Post,,,,,,,,,,,,,,,,,,,,,,202510210LAL
Gui Santos,,,,,,,,,,,,,,,,,,,,,,202510210LAL
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Jimmy Butler,8:09,2,4,.500,0,1,.000,2,2,1.000,0,2,2,2,0,0,0,2,6,5.2,+9,202510210LAL
Jonathan Kuminga,7:50,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,-6,202510210LAL
Brandin Podziemski,8:03,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,+3,202510210LAL
Stephen Curry,7:50,1,3,.333,1,3,.333,2,2,1.000,0,0,0,1,0,1,1,0,5,3.7,-6,202510210LAL
Draymond Green,8:09,2,2,1.000,1,1,1.000,0,1,.000,0,0,0,2,0,2,0,2,5,6.0,+9,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Buddy Hield,6:04,2,5,.400,2,5,.400,0,0,,0,0,0,0,0,0,0,0,6,3.3,+1,202510210LAL
Al Horford,3:51,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,2,1,2,-1.4,-10,202510210LAL
Will Richard,3:51,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,-10,202510210LAL
Gary Payton II,2:03,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,0,202510210LAL
Quinten Post,4:10,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,+5,202510210LAL
Gui Santos,,,,,,,,,,,,,,,,,,,,,,202510210LAL
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
