Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Đorđe Petrović,rs SRB,GK,26-010,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7.0,12,9,5,5,2,6,12,50.0,6,13,1,12,1,13,5,0,Matches
Adrien Truffert,fr FRA,DF,23-332,7.0,14,6,4,7,3,7,13,53.8,6,10,2,8,3,17,30,0,Matches
Marcos Senesi,ar ARG,DF,28-161,6.9,12,9,5,7,0,4,11,36.4,7,9,6,3,13,25,57,0,Matches
Evanilson,br BRA,FW,26-012,6.8,1,1,0,1,0,1,4,25.0,3,4,1,3,0,1,6,0,Matches
Tyler Adams,us USA,MF,26-246,6.7,18,10,9,8,1,11,20,55.0,9,10,3,7,15,33,11,0,Matches
Bafodé Diakité,fr FRA,DF,24-285,6.0,8,6,5,3,0,3,4,75.0,1,7,2,5,6,14,40,1,Matches
Marcus Tavernier,eng ENG,MF,26-210,5.5,8,3,1,6,1,3,7,42.9,4,7,0,7,3,11,11,0,Matches
David Brooks,wls WAL,"FW,MF",28-102,5.0,6,5,2,2,2,3,14,21.4,11,5,0,5,2,8,5,0,Matches
Alex Scott,eng ENG,MF,22-058,5.0,15,9,5,7,3,5,9,55.6,4,4,0,4,7,22,8,0,Matches
Adam Smith,eng ENG,DF,34-172,2.3,1,0,0,1,0,0,0,,0,1,0,1,1,2,10,0,Matches
James Hill,eng ENG,DF,23-281,2.9,3,3,2,1,0,2,5,40.0,3,3,0,3,3,6,13,0,Matches
Álex Jiménez,es ESP,DF,20-163,1.7,7,5,4,2,1,1,1,100.0,0,2,1,1,0,7,2,0,Matches
Justin Kluivert,nl NED,MF,26-166,1.8,2,2,0,1,1,0,3,0.0,3,3,0,3,0,2,1,0,Matches
Ryan Christie,sct SCO,MF,30-238,1.7,6,2,4,2,0,3,5,60.0,2,2,0,2,2,8,5,0,Matches
Amine Adli,ma MAR,"FW,MF",25-161,1.7,10,3,4,3,3,6,8,75.0,2,5,1,4,2,12,4,0,Matches
Veljko Milosavljević,rs SRB,DF,18-112,1.1,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,9,0,Matches
Ben Gannon-Doak,sct SCO,FW,19-341,0.3,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-117,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Hamed Junior Traorè,ci CIV,MF,25-244,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Ben Winterburn,eng ENG,MF,21-044,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Lewis Cook,eng ENG,MF,28-257,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Julio Soler,ar ARG,FW,20-244,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,7.0,126,74,52,57,17,57,119,47.9,62,86,17,69,60,186,226,2,
Opponent Total,,,27.2,7.0,130,87,65,49,16,71,130,54.6,59,94,28,66,47,177,241,4,
