Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,12,1,0,1,1,9.0,0.29,-2.0,-0.28,46,119,38.7,223,38,39.9,34.0,36,83.3,59.8,91,6,6.6,5,0.71,11.9,Matches
Squad Total,,,25.3,7.0,12,1,0,1,1,9.0,0.29,-2.0,-0.28,46,119,38.7,209,38,40.7,,50,68.0,50.2,91,6,6.6,5,0.71,,
Opponent Total,,,26.4,7.0,9,1,0,0,0,9.6,0.37,0.6,0.09,25,67,37.3,193,31,28.5,32.2,39,30.8,30.9,81,13,16.0,8,1.14,13.0,
