Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Marc Guéhi,eng ENG,DF,25-097,7.0,0,0,0,3,8,0,2,8,11,0,0,0,24,19,9,67.9,Matches
Dean Henderson,eng ENG,GK,28-220,7.0,1,0,0,0,2,0,0,0,0,0,0,0,10,3,1,75.0,Matches
Maxence Lacroix,fr FRA,DF,25-195,7.0,1,0,0,7,4,0,2,10,9,0,1,0,17,20,11,64.5,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7.0,2,0,0,2,3,0,25,8,16,0,0,0,29,1,10,9.1,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7.0,3,0,0,10,6,0,13,10,11,0,0,0,30,18,10,64.3,Matches
Chris Richards,us USA,DF,25-204,7.0,0,0,0,3,1,0,1,9,12,0,0,0,8,21,12,63.6,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,6.7,2,0,0,6,6,3,2,4,1,0,0,0,15,15,27,35.7,Matches
Adam Wharton,eng ENG,MF,21-254,5.0,1,0,0,4,5,0,13,6,5,0,0,0,27,2,5,28.6,Matches
Daichi Kamada,jp JPN,MF,29-074,4.8,0,0,0,8,8,1,14,2,9,1,0,0,17,4,3,57.1,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-235,4.8,1,0,0,5,4,3,3,1,1,0,0,0,14,3,11,21.4,Matches
Will Hughes,eng ENG,MF,30-184,4.6,3,0,0,8,4,0,10,3,3,0,0,0,14,2,3,40.0,Matches
Yeremi Pino,es ESP,MF,22-363,3.4,1,0,0,8,7,0,7,1,3,0,0,0,15,4,8,33.3,Matches
Jefferson Lerma,co COL,MF,30-358,2.1,1,0,0,3,4,0,1,1,2,0,0,0,10,5,2,71.4,Matches
Justin Devenny,nir NIR,"MF,FW",22-007,1.7,0,0,0,6,2,1,1,0,6,0,0,0,11,1,4,20.0,Matches
Eberechi Eze,eng ENG,MF,27-111,0.9,0,0,0,2,1,0,4,0,1,0,0,0,5,0,1,0.0,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-141,0.6,1,0,0,2,1,1,0,0,0,0,0,0,2,2,3,40.0,Matches
Romain Esse,eng ENG,FW,20-158,0.3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Christantus Uche,ng NGA,MF,22-152,0.1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0.0,Matches
Nathaniel Clyne,eng ENG,DF,34-196,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
Odsonne Édouard,fr FRA,FW,27-275,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0.0,Matches
Squad Total,,,26.8,7.0,17,0,0,78,70,9,100,63,93,1,1,0,249,120,124,49.2,
Opponent Total,,,26.8,7.0,16,0,0,72,70,6,170,65,48,1,1,0,277,124,120,50.8,
