Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Jarrod Bowen,eng ENG,"FW,MF",28-302,7.0,0,0,0,3,12,2,20,6,3,0,0,0,22,3,9,25.0,Matches
El Hadji Malick Diouf,sn SEN,DF,20-294,7.0,1,0,0,10,4,0,28,4,2,0,1,0,25,12,10,54.5,Matches
Max Kilman,eng ENG,DF,28-148,7.0,3,0,0,8,0,0,2,5,6,0,0,0,22,22,12,64.7,Matches
Lucas Paquetá,br BRA,"MF,FW",28-052,6.7,2,0,0,11,12,0,17,2,10,0,0,0,34,14,14,50.0,Matches
Konstantinos Mavropanos,gr GRE,DF,27-311,5.0,1,0,0,3,1,0,0,7,1,0,0,0,16,15,10,60.0,Matches
James Ward-Prowse,eng ENG,MF,30-351,4.6,0,0,0,4,2,0,23,5,2,0,0,0,9,3,5,37.5,Matches
Mateus Fernandes,pt POR,"MF,FW",21-100,4.4,0,0,0,8,3,0,3,2,8,0,0,0,15,1,2,33.3,Matches
Niclas Füllkrug,de GER,FW,32-251,4.2,0,0,0,10,1,2,0,2,1,0,0,0,8,16,28,36.4,Matches
Kyle Walker-Peters,eng ENG,DF,28-188,4.4,1,0,0,4,7,0,4,0,6,0,0,0,19,4,6,40.0,Matches
Mads Hermansen,dk DEN,GK,25-099,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,100.0,Matches
Crysencio Summerville,nl NED,"MF,FW",23-353,3.5,1,0,0,4,10,1,3,1,2,1,0,0,16,1,3,25.0,Matches
Alphonse Areola,fr FRA,GK,32-233,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches
Aaron Wan-Bissaka,cd COD,DF,27-326,2.9,0,0,0,1,2,0,7,1,1,0,0,0,8,3,0,100.0,Matches
Tomáš Souček,cz CZE,MF,30-233,2.6,0,1,0,3,1,1,1,3,2,0,0,0,7,8,3,72.7,Matches
Nayef Aguerd,ma MAR,DF,29-202,2.0,0,0,0,0,1,0,2,1,0,0,0,0,8,4,3,57.1,Matches
Soungoutou Magassa,fr FRA,MF,22-010,1.8,1,0,0,4,1,0,0,1,2,0,0,0,6,0,2,0.0,Matches
Jean-Clair Todibo,fr FRA,DF,25-292,1.4,0,0,0,0,1,1,2,3,1,0,0,0,2,0,3,0.0,Matches
Callum Wilson,eng ENG,FW,33-233,1.9,0,0,0,3,3,1,1,1,0,0,0,0,4,3,4,42.9,Matches
Guido Rodríguez,ar ARG,MF,31-189,0.8,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,100.0,Matches
Freddie Potts,eng ENG,MF,22-036,1.2,0,0,0,0,0,0,0,0,2,0,0,0,3,4,1,80.0,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,0.6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches
Callum Marshall,nir NIR,FW,20-324,0.3,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,50.0,Matches
Andy Irving,sct SCO,MF,25-158,0.3,0,0,0,0,0,0,5,0,2,0,0,0,2,0,1,0.0,Matches
Igor,br BRA,DF,27-253,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.3,7.0,10,1,0,76,61,8,120,47,51,1,1,0,241,118,118,50.0,
Opponent Total,,,26.2,7.0,8,0,0,65,76,9,161,44,79,1,1,0,244,118,118,50.0,
