Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Elliot Anderson,eng ENG,MF,22-346,7,7,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,1.3,1.9,12.0,63.0,21.0,0.0,0.14,0.14,0.0,0.14,0.09,0.18,0.27,0.09,0.27,Matches
Nikola Milenković,rs SRB,DF,28-006,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Matz Sels,be BEL,GK,33-234,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Neco Williams,wls WAL,"DF,MF",24-188,7,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.2,0.2,0.5,0.7,15.0,37.0,42.0,0.14,0.0,0.14,0.14,0.14,0.03,0.07,0.1,0.03,0.1,Matches
Chris Wood,nz NZL,FW,33-315,7,7,523.0,5.8,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.7,2.7,0.2,2.9,0.0,7.0,16.0,0.34,0.0,0.34,0.34,0.34,0.47,0.03,0.49,0.47,0.49,Matches
Dan Ndoye,ch SUI,FW,24-358,7,7,492.0,5.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.7,29.0,9.0,54.0,0.18,0.18,0.37,0.18,0.37,0.03,0.11,0.14,0.03,0.14,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-264,7,6,551.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,19.0,48.0,51.0,0.0,0.16,0.16,0.0,0.16,0.16,0.06,0.22,0.16,0.22,Matches
Callum Hudson-Odoi,eng ENG,FW,24-345,7,4,398.0,4.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,24.0,18.0,56.0,0.23,0.0,0.23,0.23,0.23,0.1,0.15,0.25,0.1,0.25,Matches
Ibrahim Sangaré,ci CIV,MF,27-320,5,4,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Morato,br BRA,DF,24-110,4,4,346.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Murillo,br BRA,DF,23-106,4,4,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ola Aina,ng NGA,DF,29-010,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.2,5.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches
Oleksandr Zinchenko,ua UKR,DF,28-307,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Dilane Bakwa,fr FRA,"FW,MF",23-053,4,2,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,6.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.07,0.2,0.27,0.07,0.27,Matches
