Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Lesley Ugochukwu,fr FRA,MF,21-206,6,288.0,48.0,45.7,3.2,3,75.0,0,3,21.0,0,0.5,4.0,5.0,-1.0,-0.31,1.53,2.1,6.7,-4.6,-1.44,-0.41,Matches
Hannibal Mejbri,tn TUN,MF,22-270,6,249.0,42.0,39.5,2.8,3,69.0,0,3,14.0,1,0.67,2.0,7.0,-5.0,-1.81,-1.1,2.1,6.6,-4.5,-1.61,-0.65,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-029,5,238.0,48.0,37.8,2.6,2,75.0,0,3,30.0,0,0.6,4.0,7.0,-3.0,-1.13,0.01,1.9,5.4,-3.4,-1.3,-0.15,Matches
Oliver Sonne,pe PER,"DF,FW",24-342,3,104.0,35.0,16.5,1.2,1,73.0,0,2,16.0,0,1.0,1.0,4.0,-3.0,-2.6,-1.74,1.5,3.3,-1.7,-1.49,-0.33,Matches
Axel Tuanzebe,cd COD,DF,27-338,1,90.0,90.0,14.3,1.0,1,90.0,1,0,,0,0.0,1.0,2.0,-1.0,-1.0,0.17,0.4,1.1,-0.7,-0.74,0.55,Matches
Armando Broja,al ALB,FW,24-038,3,45.0,15.0,7.1,0.5,0,,0,3,15.0,1,0.0,1.0,4.0,-3.0,-6.0,-5.23,0.3,2.0,-1.7,-3.46,-2.41,Matches
Zian Flemming,nl NED,"FW,MF",27-078,4,36.0,9.0,5.7,0.4,0,,0,4,9.0,3,1.0,1.0,0.0,1.0,2.5,3.86,0.9,0.6,0.3,0.77,2.1,Matches
Joe Worrall,eng ENG,DF,28-281,4,22.0,6.0,3.5,0.2,0,,0,4,6.0,3,0.75,1.0,2.0,-1.0,-4.09,-3.05,0.7,2.1,-1.4,-5.9,-4.85,Matches
Marcus Edwards,eng ENG,FW,26-319,1,6.0,6.0,1.0,0.1,0,,0,1,6.0,6,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,0.0,0.0,1.23,Matches
Bashir Humphreys,eng ENG,DF,22-217,1,3.0,3.0,0.5,0.0,0,,0,1,3.0,3,0.0,0.0,2.0,-2.0,-60.0,-59.14,0.0,0.6,-0.6,-18.69,-17.56,Matches
Ashley Barnes,eng ENG,"FW,MF",35-353,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Lucas,br BRA,DF,24-208,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Aaron Ramsey,eng ENG,MF,22-270,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Max Weiß,de GER,GK,21-125,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Squad Total,,,27.6,7,630.0,90.0,100.0,7.0,77,84.0,46,30,15.0,33,0.57,7.0,15.0,-8.0,-1.14,,4.9,13.4,-8.5,-1.21,,
Opponent Total,,,26.2,7,630.0,90.0,100.0,7.0,77,84.0,45,33,21.0,30,2.29,15.0,7.0,8.0,1.14,,13.4,4.9,8.5,1.21,,
