Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Lewis Dunk,eng ENG,DF,33-331,7.0,8,7,4,3,1,5,7,71.4,2,5,3,2,5,13,39,0,Matches
Jan Paul van Hecke,nl NED,DF,25-132,7.0,8,5,6,1,1,6,11,54.5,5,15,6,9,5,13,41,0,Matches
Bart Verbruggen,nl NED,GK,23-061,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Yankuba Minteh,gm GAM,FW,21-088,6.6,12,10,4,5,3,6,13,46.2,7,8,0,8,6,18,4,0,Matches
Kaoru Mitoma,jp JPN,FW,28-151,5.6,3,3,2,1,0,2,10,20.0,8,5,0,5,2,5,4,0,Matches
Carlos Baleba,cm CMR,MF,21-288,3.9,7,4,1,5,1,2,6,33.3,4,3,0,3,8,15,6,0,Matches
Yasin Ayari,se SWE,MF,22-012,6.0,15,9,4,7,4,5,10,50.0,5,4,0,4,8,23,8,0,Matches
Danny Welbeck,eng ENG,FW,34-326,4.1,3,1,2,0,1,0,5,0.0,5,3,0,3,1,4,3,1,Matches
Georginio Rutter,fr FRA,"FW,MF",23-181,4.1,4,2,0,2,2,1,4,25.0,3,6,1,5,1,5,10,0,Matches
Joël Veltman,nl NED,DF,33-276,3.6,15,7,9,6,0,8,9,88.9,1,5,1,4,8,23,15,0,Matches
Maxim De Cuyper,be BEL,DF,24-300,3.3,6,4,2,3,1,4,6,66.7,2,5,0,5,2,8,8,1,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-011,4.2,9,7,6,2,1,7,14,50.0,7,4,2,2,0,9,16,0,Matches
Diego Gómez,py PAR,MF,22-205,3.5,16,9,7,5,4,8,13,61.5,5,6,0,6,3,19,4,0,Matches
Mats Wieffer,nl NED,DF,25-336,3.2,15,7,7,3,5,7,10,70.0,3,3,0,3,3,18,16,0,Matches
Brajan Gruda,de GER,"MF,FW",21-140,2.5,5,1,2,3,0,2,4,50.0,2,1,0,1,0,5,2,0,Matches
Matt O'Riley,dk DEN,MF,24-331,2.0,4,2,2,2,0,2,4,50.0,2,4,1,3,0,4,2,0,Matches
Jack Hinshelwood,eng ENG,MF,20-190,1.2,3,3,1,2,0,1,1,100.0,0,0,0,0,0,3,2,0,Matches
James Milner,eng ENG,MF,39-287,1.6,3,3,2,1,0,1,3,33.3,2,2,1,1,2,5,2,0,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,0.6,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Diego Coppola,it ITA,DF,21-294,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Squad Total,,,26.1,7.0,138,86,61,52,25,68,131,51.9,63,79,15,64,54,192,187,2,
Opponent Total,,,26.4,7.0,136,72,72,45,19,68,119,57.1,51,62,15,47,50,186,161,9,
