Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Matthijs de Ligt,nl NED,DF,26-067,7.0,350,340,9,4,1,0,4,3,0,0,0,0,305,1,1,Matches
Bruno Fernandes,pt POR,MF,31-040,7.0,457,406,48,33,5,8,28,3,12,11,0,1,352,3,10,Matches
Luke Shaw,eng ENG,DF,30-098,6.7,400,367,32,5,0,8,1,17,0,0,0,0,335,1,6,Matches
Bryan Mbeumo,cm CMR,MF,26-072,6.6,239,198,39,6,4,3,36,3,14,11,0,1,172,2,10,Matches
Altay Bayındır,tr TUR,GK,27-187,6.0,192,160,32,16,0,0,0,0,0,0,0,0,122,0,0,Matches
Patrick Dorgu,dk DEN,DF,20-357,5.2,204,171,33,0,0,1,17,33,0,0,0,0,147,0,7,Matches
Leny Yoro,fr FRA,DF,19-339,5.0,250,239,11,7,0,3,1,4,0,0,0,0,215,0,3,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,5.0,206,184,21,1,1,1,5,20,0,0,0,0,186,1,1,Matches
Casemiro,br BRA,MF,33-237,3.6,214,205,9,9,1,2,3,0,0,0,0,0,175,0,6,Matches
Benjamin Šeško,si SVN,FW,22-140,4.3,74,72,1,0,1,0,0,0,0,0,0,0,49,1,0,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,3.9,91,86,4,2,1,0,6,1,0,0,0,0,75,1,1,Matches
Diogo Dalot,pt POR,DF,26-214,3.7,185,142,43,1,1,2,13,42,0,0,0,0,139,0,2,Matches
Mason Mount,eng ENG,MF,26-281,3.0,107,105,2,0,3,3,3,0,2,2,0,0,81,0,4,Matches
Manuel Ugarte,uy URU,MF,24-190,2.7,128,124,3,3,1,2,0,0,0,0,0,0,108,1,3,Matches
Harry Maguire,eng ENG,DF,32-227,2.0,109,107,2,1,0,0,0,0,0,0,0,0,91,0,1,Matches
Noussair Mazraoui,ma MAR,DF,27-338,1.5,97,81,16,0,0,0,5,16,0,0,0,0,74,0,4,Matches
Senne Lammens,be BEL,GK,23-103,1.0,46,36,10,3,0,0,0,0,0,0,0,0,19,0,0,Matches
Kobbie Mainoo,eng ENG,MF,20-182,1.3,72,67,5,4,1,0,2,0,1,0,0,0,62,0,1,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,0.9,32,32,0,0,0,0,1,0,0,0,0,0,26,0,0,Matches
Ayden Heaven,eng ENG,DF,19-026,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.3,7.0,3453,3122,320,95,20,33,125,142,29,24,0,2,2733,11,60,
Opponent Total,,,26.1,7.0,3083,2745,325,78,17,19,104,137,28,17,6,0,2390,13,61,
