Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,7,0,0,1,0,5.8,0.31,-1.2,-0.2,19,92,20.7,220,30,35.0,35.2,26,57.7,50.8,69,10,14.5,5,0.83,11.8,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,2,0,0,1,0,1.8,0.59,-0.2,-0.23,3,10,30.0,31,1,22.6,26.0,4,75.0,55.8,20,0,0.0,1,1.08,16.3,Matches
Squad Total,,,24.4,7.0,9,0,0,2,0,7.6,0.35,-1.4,-0.2,22,102,21.6,229,31,36.7,,52,34.6,34.1,89,10,11.2,6,0.86,,
Opponent Total,,,26.9,7.0,13,1,0,5,0,15.1,0.48,2.1,0.29,35,107,32.7,202,35,41.1,35.9,50,48.0,37.0,86,4,4.7,11,1.57,15.0,
