Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Moisés Caicedo,ec ECU,MF,23-350,7,7,630.0,7.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,5.0,36.0,3.0,0.43,0.0,0.43,0.43,0.43,0.07,0.01,0.08,0.07,0.08,Matches
Enzo Fernández,ar ARG,MF,24-274,7,7,618.0,6.9,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,3.7,3.0,0.8,3.8,9.0,44.0,27.0,0.44,0.15,0.58,0.29,0.44,0.55,0.12,0.66,0.43,0.55,Matches
João Pedro,br BRA,"FW,MF",24-022,7,7,584.0,6.5,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.4,3.0,16.0,19.0,43.0,0.31,0.46,0.77,0.31,0.77,0.24,0.22,0.46,0.24,0.46,Matches
Robert Sánchez,es ESP,GK,27-334,7,7,544.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Pedro Neto,pt POR,FW,25-223,7,7,508.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.9,1.5,24.0,17.0,51.0,0.18,0.0,0.18,0.18,0.18,0.11,0.16,0.27,0.11,0.27,Matches
Marc Cucurella,es ESP,DF,27-088,7,6,536.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.3,1.5,14.0,28.0,22.0,0.0,0.34,0.34,0.0,0.34,0.04,0.21,0.25,0.04,0.25,Matches
Trevoh Chalobah,eng ENG,DF,26-105,6,6,480.0,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.7,0.7,0.0,0.7,8.0,25.0,0.0,0.37,0.0,0.37,0.37,0.37,0.14,0.0,0.14,0.14,0.14,Matches
Reece James,eng ENG,DF,25-314,7,4,425.0,4.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,1.2,1.3,8.0,19.0,16.0,0.0,0.21,0.21,0.0,0.21,0.02,0.25,0.27,0.02,0.27,Matches
Estêvão Willian,br BRA,FW,18-177,6,4,264.0,2.9,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.6,1.6,1.2,2.8,10.0,3.0,26.0,0.34,0.34,0.68,0.34,0.68,0.54,0.42,0.96,0.54,0.96,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,4,3,354.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,6,3,315.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,7.0,18.0,19.0,0.0,0.29,0.29,0.0,0.29,0.01,0.02,0.03,0.01,0.03,Matches
Joshua Acheampong,eng ENG,DF,19-166,3,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Jorrel Hato,nl NED,DF,19-225,4,2,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jamie Gittens,eng ENG,FW,21-071,5,2,161.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,9.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15,Matches
Cole Palmer,eng ENG,MF,23-165,3,2,145.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,9.0,11.0,14.0,0.62,0.0,0.62,0.62,0.62,0.5,0.01,0.51,0.5,0.51,Matches
Wesley Fofana,fr FRA,DF,24-305,3,2,130.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
