Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Jordan Pickford,eng ENG,GK,31-225,7.0,7,1,0,0,0,7.6,0.25,0.6,0.09,66,169,39.1,263,23,52.9,41.2,40,75.0,56.3,84,4,4.8,18,2.57,18.4,Matches
Squad Total,,,28.5,7.0,7,1,0,0,0,7.6,0.25,0.6,0.09,66,169,39.1,247,23,56.3,,56,53.6,42.7,84,4,4.8,18,2.57,,
Opponent Total,,,26.8,7.0,9,1,0,2,0,7.6,0.28,-1.4,-0.19,28,108,25.9,216,33,40.3,36.7,53,39.6,30.7,87,4,4.6,1,0.14,11.7,
