Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Altay Bayındır,tr TUR,GK,27-187,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,,Matches
Senne Lammens,be BEL,GK,23-103,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
Squad Total,,,26.3,7,7,630,7.0,11,1.57,27,16,59.3,3,1,3,1,14.3,0,0,0,0,,
Opponent Total,,,26.1,7,7,628,7.0,9,1.29,34,26,76.5,3,1,3,2,28.6,3,1,1,1,50.0,
