Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Elliot Anderson,eng ENG,MF,22-346,7.0,21,12,8,6,7,8,18,44.4,10,10,1,9,5,26,8,0,Matches
Nikola Milenković,rs SRB,DF,28-006,7.0,3,2,1,2,0,0,3,0.0,3,4,3,1,7,10,36,0,Matches
Matz Sels,be BEL,GK,33-234,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
Neco Williams,wls WAL,"DF,MF",24-188,7.0,18,11,9,6,3,10,20,50.0,10,10,4,6,7,25,13,0,Matches
Chris Wood,nz NZL,FW,33-315,5.8,0,0,0,0,0,0,4,0.0,4,1,1,0,0,0,5,1,Matches
Dan Ndoye,ch SUI,FW,24-358,5.5,6,3,0,2,4,1,8,12.5,7,5,1,4,5,11,1,0,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-264,6.1,2,2,0,0,2,2,4,50.0,2,6,1,5,2,4,10,2,Matches
Callum Hudson-Odoi,eng ENG,FW,24-345,4.4,1,1,1,0,0,0,2,0.0,2,0,0,0,2,3,1,0,Matches
Ibrahim Sangaré,ci CIV,MF,27-320,3.9,7,6,2,4,1,5,6,83.3,1,3,1,2,6,13,12,2,Matches
Morato,br BRA,DF,24-110,3.8,6,3,4,1,1,5,7,71.4,2,6,2,4,2,8,23,2,Matches
Murillo,br BRA,DF,23-106,3.4,3,1,2,1,0,2,2,100.0,0,4,0,4,7,10,15,0,Matches
Ola Aina,ng NGA,DF,29-010,3.0,6,3,2,2,2,4,4,100.0,0,1,0,1,5,11,14,0,Matches
Oleksandr Zinchenko,ua UKR,DF,28-307,2.0,6,3,3,2,1,3,8,37.5,5,4,1,3,0,6,6,0,Matches
Dilane Bakwa,fr FRA,"FW,MF",23-053,1.9,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,2,0,Matches
Nicolò Savona,it ITA,"DF,MF",22-213,1.6,3,3,1,1,1,3,5,60.0,2,2,1,1,1,4,2,0,Matches
James Mcatee,eng ENG,"MF,FW",23-000,1.4,2,2,2,0,0,0,1,0.0,1,5,0,5,0,2,1,0,Matches
Ryan Yates,eng ENG,MF,27-331,1.0,0,0,0,0,0,0,0,,0,1,1,0,2,2,6,0,Matches
Jair Cunha,br BRA,DF,20-225,1.0,2,2,1,1,0,1,1,100.0,0,1,1,0,2,4,6,0,Matches
Douglas Luiz,br BRA,MF,27-162,0.8,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,Matches
Nicolás Domínguez,ar ARG,MF,27-112,0.5,2,0,0,2,0,0,0,,0,1,0,1,0,2,1,1,Matches
Igor Jesus,br BRA,"FW,MF",24-235,1.2,3,2,1,1,1,3,4,75.0,1,0,0,0,0,3,4,0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-271,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Omari Hutchinson,eng ENG,"FW,MF",21-353,0.6,1,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,Matches
Jota Silva,pt POR,FW,26-078,0.1,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0,Matches
Squad Total,,,26.7,7.0,95,59,39,32,24,50,102,49.0,52,70,19,51,53,148,172,8,
Opponent Total,,,26.5,7.0,106,64,50,37,19,52,104,50.0,52,71,24,47,50,156,199,2,
