Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Robin Roefs,nl NED,GK,22-274,7,7,630,7.0,6,0.86,29,22,79.3,3,2,2,3,42.9,1,0,1,0,100.0,Matches
Squad Total,,,25.3,7,7,630,7.0,6,0.86,29,22,79.3,3,2,2,3,42.9,1,0,1,0,100.0,
Opponent Total,,,27.0,7,7,630,7.0,7,1.0,19,12,68.4,2,2,3,3,42.9,1,1,0,0,0.0,
