Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gabriel Magalhães,br BRA,DF,27-303,7,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,6.0,29.0,1.0,0.14,0.0,0.14,0.14,0.14,0.07,0.0,0.07,0.07,0.07,Matches
David Raya,es ESP,GK,30-033,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Viktor Gyökeres,se SWE,FW,27-136,7,7,576.0,6.4,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,3.0,2.2,0.3,2.5,5.0,6.0,34.0,0.47,0.0,0.47,0.31,0.31,0.47,0.04,0.52,0.35,0.39,Matches
Riccardo Calafiori,it ITA,DF,23-152,7,7,524.0,5.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,0.5,2.3,15.0,24.0,23.0,0.17,0.34,0.52,0.17,0.52,0.31,0.08,0.4,0.31,0.4,Matches
Martín Zubimendi,es ESP,MF,26-258,7,6,591.0,6.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,5.0,36.0,6.0,0.3,0.0,0.3,0.3,0.3,0.04,0.1,0.14,0.04,0.14,Matches
Declan Rice,eng ENG,MF,26-277,7,6,543.0,6.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,18.0,36.0,12.0,0.17,0.33,0.5,0.17,0.5,0.08,0.2,0.28,0.08,0.28,Matches
Jurriën Timber,nl NED,DF,24-123,7,6,522.0,5.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.8,1.8,0.4,2.2,13.0,37.0,29.0,0.34,0.17,0.52,0.34,0.52,0.31,0.08,0.38,0.31,0.38,Matches
William Saliba,fr FRA,DF,24-208,6,5,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Bukayo Saka,eng ENG,FW,24-043,5,4,346.0,3.8,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.2,0.4,0.8,1.3,19.0,6.0,46.0,0.52,0.0,0.52,0.26,0.26,0.32,0.22,0.54,0.11,0.33,Matches
