Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Gabriel Magalhães,br BRA,DF,27-303,7.0,418,395,22,10,1,2,0,0,0,0,0,0,376,1,2,Matches
David Raya,es ESP,GK,30-033,7.0,256,221,35,17,0,0,0,0,0,0,0,0,188,0,0,Matches
Viktor Gyökeres,se SWE,FW,27-136,6.4,74,73,0,0,0,0,3,0,0,0,0,0,41,1,6,Matches
Riccardo Calafiori,it ITA,DF,23-152,5.8,301,246,54,4,0,0,12,50,0,0,0,0,241,1,10,Matches
Martín Zubimendi,es ESP,MF,26-258,6.6,407,403,4,4,2,0,3,0,0,0,0,0,362,0,2,Matches
Declan Rice,eng ENG,MF,26-277,6.0,435,382,52,16,1,3,39,6,28,17,7,0,370,1,0,Matches
Jurriën Timber,nl NED,DF,24-123,5.8,294,240,54,7,5,1,11,47,0,0,0,0,250,0,5,Matches
William Saliba,fr FRA,DF,24-208,4.5,383,379,3,3,0,0,1,0,0,0,0,0,357,1,1,Matches
Bukayo Saka,eng ENG,FW,24-043,3.8,134,120,14,0,1,0,20,3,11,10,0,0,99,0,3,Matches
Noni Madueke,eng ENG,FW,23-222,3.4,122,110,11,0,0,0,26,1,10,10,0,0,73,1,6,Matches
Martin Ødegaard,no NOR,MF,26-305,2.3,140,131,8,3,4,0,5,1,2,2,0,0,111,1,3,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,3.5,125,119,6,1,3,1,2,0,1,1,0,0,105,0,1,Matches
Leandro Trossard,be BEL,FW,30-318,3.3,129,128,1,0,1,4,13,1,0,0,0,0,89,0,7,Matches
Mikel Merino,es ESP,MF,29-118,2.7,101,100,1,0,5,0,2,1,0,0,0,0,79,0,2,Matches
Cristhian Mosquera,es ESP,DF,21-113,2.8,173,167,5,1,0,0,0,4,0,0,0,0,157,1,0,Matches
Gabriel Martinelli,br BRA,FW,24-122,2.1,29,25,3,2,0,1,5,0,1,1,0,0,18,1,2,Matches
Ben White,eng ENG,DF,28-010,0.8,27,22,5,0,0,0,1,5,0,0,0,0,21,0,0,Matches
Ethan Nwaneri,eng ENG,MF,18-211,1.7,81,76,5,3,1,1,2,0,0,0,0,0,72,0,1,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,1.0,57,48,9,2,0,0,0,7,0,0,0,0,53,0,2,Matches
Kai Havertz,de GER,FW,26-129,0.3,9,9,0,0,0,0,0,0,0,0,0,0,5,0,0,Matches
Max Dowman,eng ENG,FW,15-291,0.3,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Squad Total,,,26.1,7.0,3699,3398,292,73,24,13,145,126,53,41,7,0,3071,9,53,
Opponent Total,,,26.6,7.0,2695,2364,325,86,11,19,70,139,22,12,8,0,2099,6,49,
