Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Martin Dúbravka,sk SVK,GK,36-276,7.0,129,253,51.0,4038,3008,28,28,100.0,54,55,98.2,47,169,27.8,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Kyle Walker,eng ENG,DF,35-143,7.0,210,315,66.7,3826,1417,103,118,87.3,75,105,71.4,26,70,37.1,0,0.0,0.2,0.0,0,14,1,0,18,Matches
Quilindschy Hartman,nl NED,DF,23-338,7.0,162,242,66.9,2821,1230,79,88,89.8,63,92,68.5,17,43,39.5,2,0.6,0.7,1.4,8,12,7,5,14,Matches
Maxime Estève,fr FRA,DF,23-145,6.9,204,229,89.1,3543,1351,93,99,93.9,88,95,92.6,16,25,64.0,0,0.1,0.1,-0.1,2,17,0,0,16,Matches
Josh Cullen,ie IRL,MF,29-194,6.6,267,327,81.7,4468,1353,143,156,91.7,92,117,78.6,27,40,67.5,1,0.8,0.6,0.2,7,37,3,0,34,Matches
Jaidon Anthony,eng ENG,"MF,FW",25-321,6.5,115,175,65.7,1716,454,66,86,76.7,36,50,72.0,6,20,30.0,1,0.3,0.6,0.7,7,10,6,3,11,Matches
Lyle Foster,za RSA,FW,25-045,6.3,66,106,62.3,909,133,38,50,76.0,13,22,59.1,6,9,66.7,1,0.6,0.2,0.4,5,6,1,0,6,Matches
Hjalmar Ekdal,se SWE,DF,26-362,5.9,138,163,84.7,2390,825,64,67,95.5,63,71,88.7,11,19,57.9,0,0.1,0.2,-0.1,2,5,0,0,6,Matches
Josh Laurent,eng ENG,"DF,MF",30-165,5.0,101,136,74.3,1477,381,53,60,88.3,42,53,79.2,3,15,20.0,0,0.2,0.1,-0.2,1,9,1,0,8,Matches
Loum Tchaouna,fr FRA,MF,22-040,3.5,51,73,69.9,654,181,36,41,87.8,14,20,70.0,0,1,0.0,0,0.1,0.2,-0.1,1,3,6,2,7,Matches
Florentino Luís,pt POR,MF,26-060,3.3,117,133,88.0,2146,686,55,62,88.7,44,49,89.8,15,18,83.3,0,0.1,0.0,-0.1,3,12,0,0,17,Matches
Lesley Ugochukwu,fr FRA,MF,21-206,3.2,71,85,83.5,1107,285,37,40,92.5,25,28,89.3,7,8,87.5,0,0.0,0.0,0.0,1,5,0,0,6,Matches
Hannibal Mejbri,tn TUN,MF,22-270,2.8,46,58,79.3,738,165,21,26,80.8,14,18,77.8,6,8,75.0,0,0.4,0.2,-0.4,2,2,2,1,5,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-029,2.6,47,59,79.7,597,124,35,40,87.5,11,14,78.6,0,3,0.0,1,0.6,0.3,0.4,2,2,1,1,5,Matches
Oliver Sonne,pe PER,"DF,FW",24-342,1.2,19,29,65.5,247,88,14,17,82.4,3,7,42.9,1,3,33.3,0,0.0,0.1,0.0,1,1,2,1,4,Matches
Axel Tuanzebe,cd COD,DF,27-338,1.0,42,50,84.0,716,232,19,20,95.0,21,22,95.5,2,5,40.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
Armando Broja,al ALB,FW,24-038,0.5,4,5,80.0,50,9,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Zian Flemming,nl NED,"FW,MF",27-078,0.4,2,8,25.0,23,14,2,5,40.0,0,0,,0,1,0.0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
Joe Worrall,eng ENG,DF,28-281,0.2,2,5,40.0,41,11,1,2,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Marcus Edwards,eng ENG,FW,26-319,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Bashir Humphreys,eng ENG,DF,22-217,0.0,2,2,100.0,22,3,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.6,7.0,1795,2453,73.2,31529,11950,892,1011,88.2,660,821,80.4,190,457,41.6,6,4.0,3.6,2.0,43,143,30,13,160,
Opponent Total,,,26.2,7.0,3769,4439,84.9,62479,19073,1869,2029,92.1,1548,1734,89.3,274,473,57.9,8,9.3,9.3,-1.3,99,327,83,31,343,
