Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Moisés Caicedo,ec ECU,MF,23-350,7.0,28,14,13,10,5,17,22,77.3,5,11,5,6,18,46,7,0,Matches
Enzo Fernández,ar ARG,MF,24-274,6.9,14,6,7,5,2,7,14,50.0,7,6,1,5,4,18,3,0,Matches
João Pedro,br BRA,"FW,MF",24-022,6.5,5,4,2,3,0,1,1,100.0,0,3,2,1,3,8,6,0,Matches
Robert Sánchez,es ESP,GK,27-334,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Pedro Neto,pt POR,FW,25-223,5.6,4,3,1,2,1,3,6,50.0,3,2,0,2,4,8,2,0,Matches
Marc Cucurella,es ESP,DF,27-088,6.0,14,10,11,1,2,7,14,50.0,7,13,2,11,6,20,18,0,Matches
Trevoh Chalobah,eng ENG,DF,26-105,5.3,10,7,1,9,0,9,9,100.0,0,3,2,1,7,17,34,0,Matches
Reece James,eng ENG,DF,25-314,4.7,10,6,7,2,1,8,10,80.0,2,4,1,3,11,21,12,2,Matches
Estêvão Willian,br BRA,FW,18-177,2.9,7,4,4,2,1,2,6,33.3,4,2,0,2,2,9,2,0,Matches
Tosin Adarabioyo,eng ENG,DF,28-024,3.9,5,2,3,2,0,1,2,50.0,1,3,2,1,5,10,25,0,Matches
Malo Gusto,fr FRA,"DF,MF",22-152,3.5,7,3,3,2,2,4,5,80.0,1,2,1,1,3,10,5,0,Matches
Joshua Acheampong,eng ENG,DF,19-166,2.2,2,2,1,1,0,1,2,50.0,1,2,0,2,3,5,7,3,Matches
Jorrel Hato,nl NED,DF,19-225,1.9,2,1,1,0,1,2,4,50.0,2,4,2,2,2,4,2,0,Matches
Jamie Gittens,eng ENG,FW,21-071,1.8,2,1,1,1,0,1,1,100.0,0,2,1,1,0,2,1,0,Matches
Cole Palmer,eng ENG,MF,23-165,1.6,2,2,1,1,0,0,2,0.0,2,0,0,0,0,2,1,0,Matches
Wesley Fofana,fr FRA,DF,24-305,1.4,3,2,1,2,0,2,3,66.7,1,1,1,0,3,6,6,0,Matches
Liam Delap,eng ENG,FW,22-252,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Andrey Santos,br BRA,MF,21-168,1.9,4,3,1,2,1,2,4,50.0,2,2,0,2,1,5,1,0,Matches
Alejandro Garnacho,ar ARG,FW,21-109,1.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Benoît Badiashile,fr FRA,DF,24-206,0.7,1,0,0,1,0,0,0,,0,1,1,0,2,3,2,0,Matches
Facundo Buonanotte,ar ARG,MF,20-299,0.5,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
Tyrique George,eng ENG,FW,19-256,1.5,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,Matches
Filip Jørgensen,dk DEN,GK,23-185,0.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Roméo Lavia,be BEL,MF,21-285,0.5,1,1,0,1,0,0,0,,0,0,0,0,2,3,2,0,Matches
Marc Guiu,es ESP,FW,19-287,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.4,7.0,124,73,58,49,17,68,106,64.2,38,62,21,41,77,201,140,6,
Opponent Total,,,26.9,7.0,131,82,62,52,17,63,115,54.8,52,73,34,39,57,188,200,5,
