Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Morgan Rogers,eng ENG,"FW,MF",23-084,6.9,0,7,4,57.1,1.01,0.58,0.0,0.0,17.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Matty Cash,pl POL,DF,28-072,6.7,1,5,2,40.0,0.74,0.3,0.2,0.5,30.9,0,0,0,0.1,0.1,0.02,0.9,0.9,Matches
Ollie Watkins,eng ENG,FW,29-292,6.6,1,11,3,27.3,1.66,0.45,0.09,0.33,12.5,0,0,0,1.5,1.5,0.14,-0.5,-0.5,Matches
John McGinn,sct SCO,"MF,FW",31-000,6.1,1,7,2,28.6,1.15,0.33,0.14,0.5,23.0,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
Ezri Konsa,eng ENG,DF,27-360,5.7,0,1,1,100.0,0.17,0.17,0.0,0.0,11.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Lucas Digne,fr FRA,DF,32-090,5.4,0,4,2,50.0,0.74,0.37,0.0,0.0,21.5,2,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Tyrone Mings,eng ENG,DF,32-219,5.3,0,3,0,0.0,0.56,0.0,0.0,,8.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
Emiliano Martínez,ar ARG,GK,33-046,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Youri Tielemans,be BEL,MF,28-164,3.5,0,5,1,20.0,1.43,0.29,0.0,0.0,18.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Boubacar Kamara,fr FRA,MF,25-329,3.3,0,2,1,50.0,0.61,0.31,0.0,0.0,12.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Evann Guessand,ci CIV,"FW,MF",24-109,3.1,0,2,2,100.0,0.64,0.64,0.0,0.0,13.4,0,0,0,0.3,0.3,0.16,-0.3,-0.3,Matches
Lamare Bogarde,nl NED,MF,21-286,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Emi Buendía,ar ARG,"MF,FW",28-297,3.3,1,10,1,10.0,3.01,0.3,0.1,1.0,21.1,0,0,0,0.7,0.7,0.07,0.3,0.3,Matches
Pau Torres,es ESP,DF,28-275,2.8,0,2,0,0.0,0.7,0.0,0.0,,12.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Donyell Malen,nl NED,FW,26-282,2.6,2,8,3,37.5,3.08,1.15,0.25,0.67,14.1,0,0,0,0.7,0.7,0.09,1.3,1.3,Matches
Marco Bizot,nl NED,GK,34-222,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Amadou Onana,be BEL,MF,24-063,1.7,0,2,1,50.0,1.17,0.58,0.0,0.0,24.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Ian Maatsen,nl NED,DF,23-222,1.6,0,2,0,0.0,1.22,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,1.1,0,3,0,0.0,2.76,0.0,0.0,,15.3,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jadon Sancho,eng ENG,FW,25-207,0.1,0,1,0,0.0,10.0,0.0,0.0,,18.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ross Barkley,eng ENG,MF,31-317,0.1,0,1,0,0.0,12.86,0.0,0.0,,5.8,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Squad Total,,,28.4,7.0,6,76,23,30.3,10.86,3.29,0.08,0.26,17.7,2,0,0,5.9,5.9,0.08,0.1,0.1,
Opponent Total,,,27.3,7.0,7,80,19,23.8,11.43,2.71,0.08,0.32,16.9,0,1,1,9.7,8.9,0.12,-2.7,-2.9,
