Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Karl Darlow,wls WAL,GK,35-010,4.0,6,0,1,0,1,3.9,0.23,-1.1,-0.27,28,91,30.8,153,24,45.8,38.9,25,84.0,58.6,76,4,5.3,3,0.75,10.7,Matches
Lucas Perri,br BRA,GK,27-312,3.0,5,1,0,2,0,3.0,0.3,-2.0,-0.66,17,71,23.9,91,12,57.1,42.8,20,95.0,64.4,35,2,5.7,0,0.0,9.2,Matches
Squad Total,,,27.0,7.0,11,1,1,2,1,6.9,0.25,-3.1,-0.44,45,162,27.8,229,36,53.3,38.9,60,66.7,47.9,111,6,5.4,3,0.43,10.7,
Opponent Total,,,26.6,7.0,7,1,1,2,0,6.5,0.25,-0.5,-0.07,26,76,34.2,187,34,27.8,30.2,58,41.4,37.2,81,6,7.4,8,1.14,15.1,
