Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,Unnamed: 30_level_0
Player,Nation,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
Bernd Leno,de GER,GK,33-228,7.0,11,2,0,1,1,9.0,0.28,-1.0,-0.14,21,79,26.6,240,36,24.6,29.5,35,57.1,45.1,83,6,7.2,6,0.86,13.1,Matches
Squad Total,,,28.0,7.0,11,2,0,1,1,9.0,0.28,-1.0,-0.14,21,79,26.6,218,36,26.6,,57,36.8,31.4,83,6,7.2,6,0.86,,
Opponent Total,,,26.1,7.0,8,0,0,2,2,5.8,0.31,-0.2,-0.03,22,91,24.2,207,31,35.7,35.7,51,33.3,30.2,107,4,3.7,6,0.86,14.1,
