Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tijjani Reijnders,nl NED,MF,27-081,7,7,607,6.7,1,2,3,1,0,0,1,0,1.0,1.0,1.0,2.0,18,28,25,0.15,0.30,0.44,0.15,0.44,0.15,0.15,0.30,0.15,0.30,Matches
Erling Haaland,no NOR,FW,25-089,7,7,593,6.6,9,1,10,9,0,0,0,0,7.7,7.7,1.1,8.8,10,6,21,1.37,0.15,1.52,1.37,1.52,1.17,0.17,1.34,1.17,1.34,Matches
Rúben Dias,pt POR,DF,28-157,7,6,546,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,6,4,392,4.4,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.4,11,9,15,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,7,4,388,4.3,0,3,3,0,0,0,0,0,0.6,0.6,2.1,2.7,44,13,45,0.00,0.70,0.70,0.00,0.70,0.13,0.50,0.63,0.13,0.63,Matches
Bernardo Silva,pt POR,MF,31-069,7,4,373,4.1,0,1,1,0,0,0,1,0,0.1,0.1,1.7,1.7,7,16,21,0.00,0.24,0.24,0.00,0.24,0.01,0.41,0.42,0.01,0.42,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,6,4,362,4.0,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,13,15,46,0.00,0.25,0.25,0.00,0.25,0.08,0.15,0.23,0.08,0.23,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Phil Foden,eng ENG,MF,25-143,5,4,353,3.9,1,0,1,1,0,0,1,0,0.8,0.8,0.2,1.0,4,19,17,0.25,0.00,0.25,0.25,0.25,0.19,0.06,0.25,0.19,0.25,Matches
Joško Gvardiol,hr CRO,DF,23-268,4,4,339,3.8,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,3,21,0,0.00,0.27,0.27,0.00,0.27,0.02,0.08,0.11,0.02,0.11,Matches
Rodri,es ESP,MF,29-118,5,4,292,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,19,5,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Nicolás González,es ESP,MF,23-288,6,3,353,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,4,23,5,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
Matheus Nunes,pt POR,DF,27-052,5,3,334,3.7,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,12,17,13,0.27,0.00,0.27,0.27,0.27,0.05,0.00,0.05,0.05,0.05,Matches
James Trafford,eng ENG,GK,23-008,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
John Stones,eng ENG,DF,31-143,4,3,265,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,14,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,4,3,228,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,3,3,202,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,6,7,8,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
Rico Lewis,eng ENG,DF,20-331,4,2,169,1.9,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,2,18,9,0.00,0.53,0.53,0.00,0.53,0.01,0.54,0.55,0.01,0.55,Matches
Sávio,br BRA,MF,21-191,4,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,10,4,11,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,3,2,149,1.7,0,1,1,0,0,0,0,0,0.8,0.8,1.0,1.8,7,5,14,0.00,0.60,0.60,0.00,0.60,0.50,0.58,1.08,0.50,1.08,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,2,1,71,0.8,1,0,1,1,0,0,0,0,0.1,0.1,0.5,0.5,3,6,3,1.27,0.00,1.27,1.27,1.27,0.07,0.60,0.67,0.07,0.67,Matches
Nathan Aké,nl NED,DF,30-242,4,0,115,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,6,2,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches
Manuel Akanji,ch SUI,"DF,MF",30-091,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ederson,br BRA,GK,32-062,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
İlkay Gündoğan,de GER,MF,34-359,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mateo Kovačić,hr CRO,MF,31-165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ryan Mcaidoo,eng ENG,FW,17-116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stephen Mfuni,eng ENG,DF,17-248,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Divine Mukasa,eng ENG,MF,18-057,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stefan Ortega,de GER,GK,32-346,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.6,7,77,630,7.0,13,11,24,13,0,0,10,0,12.1,12.1,10.5,22.6,168,269,266,1.86,1.57,3.43,1.86,3.43,1.73,1.50,3.22,1.73,3.22,
Opponent Total,,,26.6,7,77,630,7.0,6,4,10,5,1,1,14,0,7.1,6.3,4.4,10.8,102,196,196,0.86,0.57,1.43,0.71,1.29,1.01,0.64,1.65,0.91,1.54,
