Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Dan Burn,eng ENG,DF,33-162,7.0,298,272,26,5,0,0,3,21,0,0,0,0,211,0,5,Matches
Nick Pope,eng ENG,GK,33-182,7.0,200,140,59,20,0,0,0,0,0,0,0,0,126,1,0,Matches
Sandro Tonali,it ITA,MF,25-163,6.7,385,353,31,10,2,4,25,0,17,6,9,0,309,1,3,Matches
Bruno Guimarães,br BRA,MF,27-336,6.0,264,252,12,6,7,2,3,2,0,0,0,0,216,0,6,Matches
Valentino Livramento,eng ENG,DF,22-340,5.8,289,231,57,2,0,1,13,55,0,0,0,0,235,1,9,Matches
Kieran Trippier,eng ENG,DF,35-029,4.8,383,290,93,22,1,1,31,55,16,5,8,1,298,0,5,Matches
Joelinton,br BRA,MF,29-065,4.4,136,129,6,5,1,0,1,1,0,0,0,0,109,1,2,Matches
Fabian Schär,ch SUI,DF,33-302,3.9,225,217,8,7,0,3,2,0,0,0,0,0,184,0,0,Matches
Sven Botman,nl NED,DF,25-279,3.8,193,185,8,6,0,1,0,0,0,0,0,0,164,0,0,Matches
Jacob Murphy,eng ENG,"FW,MF",30-236,3.5,108,101,7,0,2,1,18,4,3,3,0,0,65,0,6,Matches
Nick Woltemade,de GER,FW,23-246,3.4,56,54,1,1,0,0,1,0,0,0,0,0,46,1,0,Matches
Anthony Gordon,eng ENG,FW,24-236,3.0,76,72,4,1,0,2,5,1,1,1,0,0,51,0,2,Matches
Anthony Elanga,se SWE,"FW,MF",23-174,3.7,126,115,11,0,1,0,29,5,5,2,3,0,76,0,5,Matches
Harvey Barnes,eng ENG,"FW,MF",27-313,3.5,95,94,1,1,0,0,13,0,0,0,0,0,71,0,7,Matches
Malick Thiaw,de GER,DF,24-071,3.0,107,105,2,2,0,0,0,0,0,0,0,0,92,0,1,Matches
Lewis Miley,eng ENG,MF,19-170,1.9,100,100,0,0,0,1,1,0,0,0,0,0,80,0,5,Matches
William Osula,dk DEN,FW,22-075,1.8,20,18,2,0,0,0,0,0,0,0,0,0,17,0,1,Matches
Lewis Hall,eng ENG,DF,21-040,1.5,78,59,19,4,0,1,7,13,2,2,0,0,52,0,2,Matches
Joe Willock,eng ENG,MF,26-059,1.0,20,20,0,0,0,0,0,0,0,0,0,0,15,0,2,Matches
Jacob Ramsey,eng ENG,MF,24-143,0.7,28,28,0,0,0,0,3,0,0,0,0,0,24,0,1,Matches
Jamaal Lascelles,eng ENG,DF,31-341,0.2,8,8,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Squad Total,,,28.0,7.0,3195,2843,347,92,14,17,155,157,44,19,20,1,2447,5,62,
Opponent Total,,,26.7,7.0,3239,2918,313,87,13,13,110,127,31,22,4,0,2523,8,49,
