Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Unnamed: 23_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Jordan Pickford,eng ENG,GK,31-225,7,7,630,7.0,7,1.0,24,16,75.0,3,2,2,2,28.6,2,1,1,0,50.0,Matches
Squad Total,,,28.5,7,7,630,7.0,7,1.0,24,16,75.0,3,2,2,2,28.6,2,1,1,0,50.0,
Opponent Total,,,26.8,7,7,630,7.0,9,1.29,25,16,68.0,2,2,3,2,28.6,1,1,0,0,0.0,
