Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nathan Collins,ie IRL,DF,24-171,7.0,231,271,85.2,4913,2073,53,62,85.5,150,158,94.9,28,49,57.1,0,0.5,0.4,-0.5,2,11,2,0,16,Matches
Sepp van den Berg,nl NED,DF,23-302,7.0,246,273,90.1,4411,1368,80,87,92.0,143,153,93.5,17,23,73.9,0,0.1,0.1,-0.1,1,10,0,0,14,Matches
Caoimhín Kelleher,ie IRL,GK,26-329,7.0,180,260,69.2,5288,3731,24,24,100.0,96,99,97.0,59,135,43.7,0,0.0,0.0,0.0,1,6,0,0,1,Matches
Michael Kayode,it ITA,DF,21-100,6.8,189,261,72.4,3056,852,105,114,92.1,61,78,78.2,19,57,33.3,0,0.4,0.2,-0.4,4,9,1,0,14,Matches
Yehor Yarmoliuk,ua UKR,MF,21-231,6.7,178,218,81.7,3022,705,93,102,91.2,66,76,86.8,14,27,51.9,1,0.2,0.2,0.8,4,16,3,1,17,Matches
Thiago,br BRA,FW,24-114,6.2,69,96,71.9,927,186,45,55,81.8,16,29,55.2,4,4,100.0,0,1.1,0.2,-1.1,4,4,3,2,6,Matches
Kevin Schade,de GER,FW,23-325,6.4,58,99,58.6,961,255,30,48,62.5,16,26,61.5,7,12,58.3,0,0.6,0.4,-0.6,5,3,1,1,2,Matches
Jordan Henderson,eng ENG,MF,35-123,5.3,185,242,76.4,3566,1086,75,83,90.4,82,100,82.0,21,43,48.8,2,0.5,0.3,1.5,4,24,4,2,24,Matches
Mikkel Damsgaard,dk DEN,MF,25-107,4.6,120,175,68.6,2102,874,52,66,78.8,46,54,85.2,15,42,35.7,0,0.4,0.8,-0.4,5,14,5,3,19,Matches
Keane Lewis-Potter,eng ENG,"DF,FW",24-238,4.4,78,108,72.2,1340,477,34,35,97.1,33,45,73.3,9,21,42.9,0,0.0,0.1,0.0,1,3,1,1,5,Matches
Dango Ouattara,bf BFA,FW,23-249,3.5,21,59,35.6,229,93,16,28,57.1,2,11,18.2,1,9,11.1,0,0.2,0.3,-0.2,1,0,0,0,1,Matches
Aaron Hickey,sct SCO,DF,23-130,2.1,69,87,79.3,1169,399,36,40,90.0,25,32,78.1,7,12,58.3,0,0.0,0.1,0.0,0,6,2,0,4,Matches
Mathias Jensen,dk DEN,MF,29-290,2.0,50,69,72.5,1016,439,24,27,88.9,16,22,72.7,9,18,50.0,0,0.2,0.1,-0.2,3,10,2,0,11,Matches
Ethan Pinnock,jm JAM,DF,32-142,1.7,51,71,71.8,904,423,21,26,80.8,24,28,85.7,3,11,27.3,0,0.0,0.0,0.0,0,5,0,0,2,Matches
Rico Henry,eng ENG,DF,28-102,1.9,36,69,52.2,569,167,18,25,72.0,17,32,53.1,1,7,14.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches
Kristoffer Ajer,no NOR,DF,27-184,1.3,43,50,86.0,728,265,18,19,94.7,24,28,85.7,1,2,50.0,1,0.7,0.4,0.3,1,4,0,0,6,Matches
Fabio Carvalho,pt POR,"FW,MF",23-049,1.1,19,27,70.4,289,99,11,14,78.6,3,5,60.0,4,6,66.7,0,0.0,0.0,0.0,0,0,1,0,2,Matches
Antoni Milambo,nl NED,MF,20-198,0.5,8,11,72.7,116,49,4,6,66.7,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Frank Onyeka,ng NGA,MF,27-290,1.0,28,36,77.8,384,160,18,19,94.7,9,12,75.0,1,2,50.0,1,0.1,0.4,0.9,1,7,0,0,4,Matches
Vitaly Janelt,de GER,MF,27-161,0.5,20,29,69.0,325,93,12,14,85.7,6,10,60.0,2,3,66.7,0,0.0,0.0,0.0,1,4,0,0,2,Matches
Squad Total,,,25.3,7.0,1879,2511,74.8,35315,13794,769,894,86.0,839,1003,83.6,222,483,46.0,5,5.2,4.1,-0.2,39,139,26,10,155,
Opponent Total,,,26.4,7.0,3318,3968,83.6,54896,17797,1686,1841,91.6,1296,1477,87.7,264,477,55.3,7,6.4,5.8,0.6,69,265,61,19,275,
