Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Martin Dúbravka,sk SVK,GK,36-276,7.0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,60.0,Matches
Kyle Walker,eng ENG,DF,35-143,7.0,2,0,0,7,4,0,4,7,6,0,0,0,33,14,11,56.0,Matches
Quilindschy Hartman,nl NED,DF,23-338,7.0,1,0,0,6,1,1,31,11,9,0,0,0,15,5,5,50.0,Matches
Maxime Estève,fr FRA,DF,23-145,6.9,0,0,0,4,5,0,0,9,4,0,0,2,15,14,9,60.9,Matches
Josh Cullen,ie IRL,MF,29-194,6.6,0,0,0,3,9,0,4,10,10,0,0,1,33,5,6,45.5,Matches
Jaidon Anthony,eng ENG,"MF,FW",25-321,6.5,2,0,0,5,9,2,16,6,7,0,1,0,29,4,7,36.4,Matches
Lyle Foster,za RSA,FW,25-045,6.3,2,0,0,13,8,6,3,0,5,0,0,0,15,14,28,33.3,Matches
Hjalmar Ekdal,se SWE,DF,26-362,5.9,0,0,0,1,0,0,1,4,5,0,0,0,14,17,7,70.8,Matches
Josh Laurent,eng ENG,"DF,MF",30-165,5.0,1,0,0,5,2,1,3,12,1,0,0,0,15,4,3,57.1,Matches
Loum Tchaouna,fr FRA,MF,22-040,3.5,1,0,0,3,5,1,3,0,3,0,0,0,9,8,5,61.5,Matches
Florentino Luís,pt POR,MF,26-060,3.3,1,0,0,5,1,1,1,6,8,0,0,0,16,2,6,25.0,Matches
Lesley Ugochukwu,fr FRA,MF,21-206,3.2,2,1,1,8,4,0,2,2,4,0,0,0,8,4,3,57.1,Matches
Hannibal Mejbri,tn TUN,MF,22-270,2.8,0,0,0,6,10,0,4,2,2,0,1,0,11,0,12,0.0,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-029,2.6,0,0,0,0,0,2,6,2,1,0,0,0,8,2,7,22.2,Matches
Oliver Sonne,pe PER,"DF,FW",24-342,1.2,0,0,0,1,0,0,3,1,1,0,0,0,3,2,0,100.0,Matches
Axel Tuanzebe,cd COD,DF,27-338,1.0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,6,14.3,Matches
Armando Broja,al ALB,FW,24-038,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,25.0,Matches
Zian Flemming,nl NED,"FW,MF",27-078,0.4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,3,25.0,Matches
Joe Worrall,eng ENG,DF,28-281,0.2,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,100.0,Matches
Marcus Edwards,eng ENG,FW,26-319,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Bashir Humphreys,eng ENG,DF,22-217,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.6,7.0,12,1,1,69,59,15,81,73,67,0,2,3,236,103,123,45.6,
Opponent Total,,,26.2,7.0,9,0,0,62,66,10,185,34,55,1,0,0,262,123,103,54.4,
