Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marc Guéhi,eng ENG,DF,25-097,7,7,630.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.1,5.0,32.0,1.0,0.14,0.14,0.29,0.14,0.29,0.08,0.07,0.15,0.08,0.15,Matches
Dean Henderson,eng ENG,GK,28-220,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maxence Lacroix,fr FRA,DF,25-195,7,7,630.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.6,0.9,0.0,8.0,3.0,0.0,0.14,0.14,0.0,0.14,0.04,0.08,0.12,0.04,0.12,Matches
Tyrick Mitchell,eng ENG,"DF,MF",26-047,7,7,630.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.6,1.0,16.0,12.0,51.0,0.14,0.0,0.14,0.14,0.14,0.05,0.09,0.14,0.05,0.14,Matches
Daniel Muñoz,co COL,"DF,MF",29-145,7,7,630.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.6,2.4,9.0,16.0,41.0,0.14,0.14,0.29,0.14,0.29,0.12,0.23,0.35,0.12,0.35,Matches
Chris Richards,us USA,DF,25-204,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,2.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches
Jean-Philippe Mateta,fr FRA,FW,28-112,7,7,600.0,6.7,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,4.1,3.3,0.1,3.4,3.0,6.0,25.0,0.3,0.0,0.3,0.15,0.15,0.61,0.02,0.63,0.49,0.51,Matches
Adam Wharton,eng ENG,MF,21-254,6,6,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.8,2.0,7.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.37,0.39,0.02,0.39,Matches
Daichi Kamada,jp JPN,MF,29-074,5,5,435.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.9,1.3,5.0,19.0,15.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19,0.27,0.08,0.27,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-235,5,5,431.0,4.8,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.9,2.9,0.5,3.4,11.0,17.0,23.0,0.63,0.21,0.84,0.63,0.84,0.61,0.1,0.71,0.61,0.71,Matches
Will Hughes,eng ENG,MF,30-184,6,5,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.5,0.6,2.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.14,0.03,0.14,Matches
Yeremi Pino,es ESP,MF,22-363,5,4,308.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,8.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.33,0.29,0.62,0.33,0.62,Matches
Jefferson Lerma,co COL,MF,30-358,7,1,185.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.6,1.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27,Matches
Justin Devenny,nir NIR,"MF,FW",22-007,7,1,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,5.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.26,0.07,0.33,0.26,0.33,Matches
Eberechi Eze,eng ENG,MF,27-111,1,1,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,0.26,Matches
Eddie Nketiah,eng ENG,"MF,FW",26-141,3,0,53.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,0.0,1.0,1.0,1.7,0.0,1.7,1.7,1.7,1.04,0.2,1.24,1.04,1.24,Matches
Romain Esse,eng ENG,FW,20-158,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Christantus Uche,ng NGA,MF,22-152,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Nathaniel Clyne,eng ENG,DF,34-196,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Odsonne Édouard,fr FRA,FW,27-275,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Walter Benítez,ar ARG,GK,32-272,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jaydee Canvot,fr FRA,MF,19-081,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
