Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Gomes,br BRA,MF,24-248,6.7,405,18,95,240,78,9,405,10,4,40.0,5,50.0,199,1091,422,7,5,1,14,8,254,8,Matches
Emmanuel Agbadou,ci CIV,DF,28-123,5.8,438,59,203,205,33,5,438,1,1,100.0,0,0.0,243,1224,562,3,7,0,7,2,290,5,Matches
Marshall Munetsi,zw ZIM,"FW,MF",29-118,5.8,170,16,39,76,56,15,170,8,5,62.5,2,25.0,70,317,175,5,6,0,10,5,95,16,Matches
André,br BRA,MF,24-094,4.9,273,18,83,176,22,1,273,7,3,42.9,2,28.6,145,697,328,6,4,0,5,6,176,3,Matches
Toti Gomes,pt POR,DF,26-275,4.3,332,26,158,160,15,3,332,6,4,66.7,2,33.3,204,983,501,5,3,0,3,2,239,1,Matches
Hugo Bueno,es ESP,"DF,MF",23-030,4.9,320,5,92,125,109,16,320,19,8,42.1,10,52.6,148,867,384,13,6,4,12,8,163,31,Matches
Jørgen Strand Larsen,no NOR,FW,25-254,4.0,108,8,13,57,38,15,108,3,2,66.7,1,33.3,60,218,103,2,1,1,7,5,89,14,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-181,4.0,228,22,96,112,21,4,228,1,0,0.0,1,100.0,136,616,258,0,2,0,1,2,158,3,Matches
José Sá,pt POR,GK,32-274,4.0,136,112,135,1,0,0,136,0,0,,0,,91,455,287,0,0,0,0,0,69,0,Matches
Jhon Arias,co COL,FW,28-027,4.0,221,6,36,105,85,16,221,6,2,33.3,3,50.0,102,533,239,6,5,2,12,6,117,16,Matches
Hwang Hee-chan,kr KOR,FW,29-265,3.1,107,4,13,51,45,6,107,11,4,36.4,6,54.5,54,375,148,5,1,1,6,0,66,14,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-034,4.0,217,18,57,98,64,7,217,5,2,40.0,3,60.0,86,419,189,7,4,0,6,1,111,28,Matches
Santiago Bueno,uy URU,DF,26-343,3.4,187,18,82,90,18,4,187,0,0,,0,,82,359,168,1,1,0,0,1,115,1,Matches
Sam Johnstone,eng ENG,GK,32-207,3.0,154,123,152,2,0,0,154,0,0,,0,,82,462,293,0,0,0,0,0,72,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-113,2.8,134,2,18,70,48,5,134,8,4,50.0,3,37.5,76,543,331,9,6,2,5,5,90,8,Matches
Matt Doherty,ie IRL,DF,33-275,2.5,132,16,58,53,21,1,132,0,0,,0,,57,177,80,0,0,0,1,1,70,0,Matches
Rodrigo Gomes,pt POR,"DF,MF",22-103,1.8,83,3,22,24,38,11,83,4,2,50.0,2,50.0,38,209,110,3,4,1,6,2,45,15,Matches
Tolu Arokodare,ng NGA,FW,24-329,1.8,49,6,8,15,26,7,49,1,0,0.0,1,100.0,24,121,20,1,2,1,9,5,36,9,Matches
David Møller Wolfe,no NOR,"MF,DF",23-178,1.6,64,3,22,25,20,2,64,1,1,100.0,0,0.0,24,146,69,3,4,0,1,1,33,8,Matches
Yerson Mosquera,co COL,DF,24-169,1.5,89,10,38,48,4,2,89,2,0,0.0,1,50.0,52,210,76,1,0,0,0,0,58,1,Matches
Ki-Jana Hoever,nl NED,MF,23-273,1.2,59,10,13,22,24,1,59,1,0,0.0,1,100.0,29,95,27,1,1,1,1,2,31,9,Matches
Fer López,es ESP,"MF,FW",21-147,1.2,76,1,8,39,29,3,76,4,2,50.0,2,50.0,44,269,140,4,1,1,6,3,57,9,Matches
Sasa Kalajdzic,at AUT,FW,28-103,0.2,10,0,0,6,4,1,10,1,0,0.0,1,100.0,3,6,0,0,0,0,0,1,6,2,Matches
Squad Total,,,26.9,7.0,3992,504,1441,1800,798,134,3992,99,44,44.4,46,46.5,2049,10392,4910,82,63,15,112,66,2440,201,
Opponent Total,,,27.0,7.0,4363,411,1271,1976,1165,163,4363,169,64,37.9,91,53.8,2356,12866,6666,130,101,31,123,79,2815,306,
