Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Martin Dúbravka,sk SVK,GK,36-276,7.0,253,146,106,21,0,0,0,0,0,0,0,0,129,1,0,Matches
Kyle Walker,eng ENG,DF,35-143,7.0,315,247,65,13,2,11,4,52,0,0,0,0,210,3,9,Matches
Quilindschy Hartman,nl NED,DF,23-338,7.0,242,181,57,11,0,2,31,35,11,11,0,0,162,4,10,Matches
Maxime Estève,fr FRA,DF,23-145,6.9,229,225,3,3,0,4,0,0,0,0,0,0,204,1,2,Matches
Josh Cullen,ie IRL,MF,29-194,6.6,327,306,19,15,3,0,4,0,2,0,0,0,267,2,3,Matches
Jaidon Anthony,eng ENG,"MF,FW",25-321,6.5,175,153,21,1,1,0,16,6,7,5,1,1,115,1,6,Matches
Lyle Foster,za RSA,FW,25-045,6.3,106,104,1,0,0,2,3,0,0,0,0,0,66,1,9,Matches
Hjalmar Ekdal,se SWE,DF,26-362,5.9,163,162,1,1,1,1,1,0,0,0,0,0,138,0,3,Matches
Josh Laurent,eng ENG,"DF,MF",30-165,5.0,136,133,2,1,0,3,3,1,0,0,0,0,101,1,4,Matches
Loum Tchaouna,fr FRA,MF,22-040,3.5,73,71,2,0,0,1,3,0,1,0,0,0,51,0,3,Matches
Florentino Luís,pt POR,MF,26-060,3.3,133,131,2,1,0,3,1,0,0,0,0,0,117,0,0,Matches
Lesley Ugochukwu,fr FRA,MF,21-206,3.2,85,85,0,0,0,0,2,0,0,0,0,0,71,0,2,Matches
Hannibal Mejbri,tn TUN,MF,22-270,2.8,58,49,9,1,1,0,4,0,0,0,0,0,46,0,1,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-029,2.6,59,57,2,0,0,0,6,1,0,0,0,0,47,0,1,Matches
Oliver Sonne,pe PER,"DF,FW",24-342,1.2,29,28,1,0,0,0,3,1,0,0,0,0,19,0,1,Matches
Axel Tuanzebe,cd COD,DF,27-338,1.0,50,49,1,0,0,0,0,0,0,0,0,0,42,0,1,Matches
Armando Broja,al ALB,FW,24-038,0.5,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Zian Flemming,nl NED,"FW,MF",27-078,0.4,8,7,1,0,0,0,0,1,0,0,0,0,2,0,2,Matches
Joe Worrall,eng ENG,DF,28-281,0.2,5,3,1,0,0,0,0,1,0,0,0,0,2,1,0,Matches
Marcus Edwards,eng ENG,FW,26-319,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bashir Humphreys,eng ENG,DF,22-217,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,27.6,7.0,2453,2143,295,68,8,27,81,98,21,16,1,1,1795,15,57,
Opponent Total,,,26.2,7.0,4439,4114,315,81,16,17,185,129,50,27,12,2,3769,10,72,
