Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Elliot Anderson,eng ENG,MF,22-346,7.0,684,12,131,392,167,18,684,19,9,47.4,9,47.4,410,2247,1082,12,10,4,11,7,493,21,Matches
Nikola Milenković,rs SRB,DF,28-006,7.0,433,56,216,197,21,5,433,0,0,,0,,243,1134,678,4,3,0,2,1,310,0,Matches
Matz Sels,be BEL,GK,33-234,7.0,219,177,212,7,0,0,219,0,0,,0,,107,561,277,0,0,0,0,0,95,0,Matches
Neco Williams,wls WAL,"DF,MF",24-188,7.0,507,18,135,217,158,15,507,14,8,57.1,3,21.4,262,1241,665,15,13,2,9,7,313,42,Matches
Chris Wood,nz NZL,FW,33-315,5.8,118,9,10,65,44,21,118,1,1,100.0,0,0.0,48,116,41,0,2,0,11,2,94,16,Matches
Dan Ndoye,ch SUI,FW,24-358,5.5,197,4,27,65,112,22,197,18,8,44.4,7,38.9,129,1176,680,29,14,10,15,8,148,54,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-264,6.1,397,12,52,188,161,26,397,9,4,44.4,4,44.4,229,1049,630,19,20,2,22,5,318,51,Matches
Callum Hudson-Odoi,eng ENG,FW,24-345,4.4,219,1,9,48,164,14,219,18,6,33.3,9,50.0,150,1184,713,24,11,7,6,5,186,56,Matches
Ibrahim Sangaré,ci CIV,MF,27-320,3.9,271,18,63,164,44,0,271,2,1,50.0,1,50.0,125,522,264,3,4,0,4,3,180,1,Matches
Morato,br BRA,DF,24-110,3.8,294,59,164,125,8,1,294,2,2,100.0,0,0.0,161,639,386,1,1,0,4,0,198,0,Matches
Murillo,br BRA,DF,23-106,3.4,255,31,115,130,11,0,255,2,2,100.0,0,0.0,138,576,358,2,4,0,0,1,175,0,Matches
Ola Aina,ng NGA,DF,29-010,3.0,203,13,70,75,62,3,203,11,3,27.3,8,72.7,82,362,212,5,4,1,0,5,108,8,Matches
Oleksandr Zinchenko,ua UKR,DF,28-307,2.0,204,11,47,104,54,2,204,0,0,,0,,106,466,252,4,2,0,3,0,143,6,Matches
Dilane Bakwa,fr FRA,"FW,MF",23-053,1.9,127,3,18,34,78,6,127,11,2,18.2,8,72.7,79,501,196,6,6,3,4,1,92,22,Matches
Nicolò Savona,it ITA,"DF,MF",22-213,1.6,84,5,37,25,23,3,84,2,1,50.0,0,0.0,52,166,70,3,2,0,4,1,50,5,Matches
James Mcatee,eng ENG,"MF,FW",23-000,1.4,77,1,10,35,34,2,77,3,2,66.7,1,33.3,45,324,202,4,5,1,1,3,56,8,Matches
Ryan Yates,eng ENG,MF,27-331,1.0,64,5,23,28,13,1,64,1,1,100.0,0,0.0,26,97,17,0,2,0,0,2,35,0,Matches
Jair Cunha,br BRA,DF,20-225,1.0,60,8,40,18,2,0,60,1,1,100.0,0,0.0,34,102,59,0,0,0,0,0,34,0,Matches
Douglas Luiz,br BRA,MF,27-162,0.8,65,1,10,37,18,3,65,0,0,,0,,35,220,138,3,2,0,2,0,49,4,Matches
Nicolás Domínguez,ar ARG,MF,27-112,0.5,43,1,8,32,3,0,43,0,0,,0,,23,140,81,0,1,0,1,0,34,0,Matches
Igor Jesus,br BRA,"FW,MF",24-235,1.2,43,4,7,14,23,6,43,0,0,,0,,12,40,15,0,0,1,0,1,26,5,Matches
Arnaud Kalimuendo,fr FRA,FW,23-271,0.8,40,1,3,10,27,7,40,1,0,0.0,1,100.0,21,114,75,4,1,2,2,0,29,12,Matches
Omari Hutchinson,eng ENG,"FW,MF",21-353,0.6,52,1,5,11,36,6,52,2,1,50.0,1,50.0,34,258,133,5,4,0,3,2,39,15,Matches
Jota Silva,pt POR,FW,26-078,0.1,7,0,2,1,4,2,7,0,0,,0,,2,3,2,0,0,0,1,0,4,1,Matches
Squad Total,,,26.7,7.0,4663,451,1414,2022,1267,163,4663,117,52,44.4,52,44.4,2553,13238,7226,143,111,33,105,54,3209,327,
Opponent Total,,,26.5,7.0,3803,513,1410,1544,886,167,3800,116,52,44.8,50,43.1,2149,11614,7033,121,70,27,91,45,2339,243,
