Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Dan Burn,eng ENG,DF,33-162,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.29,6.0,5.0,1.0,0.14,,8.4,4.7,3.6,0.52,,Matches
Nick Pope,eng ENG,GK,33-182,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.29,6.0,5.0,1.0,0.14,,8.4,4.7,3.6,0.52,,Matches
Sandro Tonali,it ITA,MF,25-163,7,605.0,86.0,96.0,6.7,7,86.0,6,0,,0,1.29,5.0,4.0,1.0,0.15,0.15,8.2,4.4,3.9,0.57,1.33,Matches
Bruno Guimarães,br BRA,MF,27-336,6,540.0,90.0,85.7,6.0,6,90.0,6,0,,1,1.33,6.0,5.0,1.0,0.17,0.17,8.2,4.3,3.9,0.65,0.88,Matches
Valentino Livramento,eng ENG,DF,22-340,6,526.0,88.0,83.5,5.8,6,88.0,5,0,,0,1.0,4.0,3.0,1.0,0.17,0.17,5.1,4.1,1.0,0.18,-2.07,Matches
Kieran Trippier,eng ENG,DF,35-029,6,429.0,72.0,68.1,4.8,5,81.0,3,1,24.0,1,1.33,4.0,4.0,0.0,0.0,-0.45,7.4,2.4,5.1,1.06,1.7,Matches
Joelinton,br BRA,MF,29-065,5,399.0,80.0,63.3,4.4,5,80.0,0,0,,1,1.4,5.0,3.0,2.0,0.45,0.84,7.1,2.9,4.2,0.95,1.18,Matches
Fabian Schär,ch SUI,DF,33-302,4,350.0,88.0,55.6,3.9,4,88.0,3,0,,1,1.25,2.0,2.0,0.0,0.0,-0.32,4.2,1.7,2.5,0.65,0.29,Matches
Sven Botman,nl NED,DF,25-279,5,338.0,68.0,53.7,3.8,4,84.0,3,1,1.0,2,1.6,3.0,2.0,1.0,0.27,0.27,4.5,3.3,1.2,0.31,-0.45,Matches
Jacob Murphy,eng ENG,"FW,MF",30-236,6,311.0,52.0,49.4,3.5,4,69.0,0,2,17.0,1,1.5,3.0,0.0,3.0,0.87,1.43,4.8,3.1,1.7,0.51,-0.03,Matches
