Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Matthijs de Ligt,nl NED,DF,26-067,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.43,9.0,11.0,-2.0,-0.29,,13.6,9.9,3.7,0.53,,Matches
Bruno Fernandes,pt POR,MF,31-040,7,626.0,89.0,99.4,7.0,7,89.0,6,0,,0,1.43,9.0,11.0,-2.0,-0.29,-0.29,13.6,9.8,3.8,0.55,2.64,Matches
Luke Shaw,eng ENG,DF,30-098,7,605.0,86.0,96.0,6.7,7,86.0,4,0,,0,1.43,9.0,10.0,-1.0,-0.15,3.45,12.8,9.5,3.2,0.48,-1.36,Matches
Bryan Mbeumo,cm CMR,MF,26-072,7,595.0,85.0,94.4,6.6,7,85.0,5,0,,0,1.43,9.0,10.0,-1.0,-0.15,2.42,12.8,9.3,3.5,0.53,-0.04,Matches
Altay Bayındır,tr TUR,GK,27-187,6,540.0,90.0,85.7,6.0,6,90.0,6,0,,1,1.17,7.0,11.0,-4.0,-0.67,-2.67,11.8,9.2,2.6,0.43,-0.74,Matches
Patrick Dorgu,dk DEN,DF,20-357,6,471.0,79.0,74.8,5.2,5,89.0,4,1,27.0,1,1.17,4.0,8.0,-4.0,-0.76,-1.9,8.5,8.2,0.3,0.05,-1.91,Matches
Leny Yoro,fr FRA,DF,19-339,7,451.0,64.0,71.6,5.0,5,81.0,1,2,23.0,0,1.43,5.0,8.0,-3.0,-0.6,-1.1,8.9,6.8,2.1,0.42,-0.41,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,6,447.0,75.0,71.0,5.0,5,82.0,4,1,36.0,0,1.67,7.0,6.0,1.0,0.2,1.68,10.5,6.1,4.4,0.89,1.24,Matches
Casemiro,br BRA,MF,33-237,6,326.0,54.0,51.7,3.6,5,63.0,0,1,11.0,0,1.67,6.0,3.0,3.0,0.83,2.31,8.6,3.9,4.8,1.31,1.62,Matches
Benjamin Šeško,si SVN,FW,22-140,7,387.0,55.0,61.4,4.3,4,76.0,2,3,28.0,0,1.43,7.0,7.0,0.0,0.0,0.74,7.8,6.2,1.6,0.37,-0.42,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,6,352.0,59.0,55.9,3.9,4,75.0,3,2,26.0,0,1.67,3.0,6.0,-3.0,-0.77,-1.09,6.4,5.5,0.9,0.22,-0.71,Matches
Diogo Dalot,pt POR,DF,26-214,5,336.0,67.0,53.3,3.7,4,74.0,2,1,39.0,0,1.4,7.0,7.0,0.0,0.0,0.61,8.0,5.3,2.7,0.73,0.42,Matches
Mason Mount,eng ENG,MF,26-281,6,272.0,45.0,43.2,3.0,4,60.0,0,2,16.0,0,1.67,4.0,3.0,1.0,0.33,1.09,5.8,3.0,2.8,0.92,0.68,Matches
Manuel Ugarte,uy URU,MF,24-190,6,243.0,41.0,38.6,2.7,2,72.0,0,4,25.0,1,1.17,1.0,7.0,-6.0,-2.22,-3.15,2.5,5.6,-3.0,-1.13,-2.7,Matches
Harry Maguire,eng ENG,DF,32-227,6,184.0,31.0,29.2,2.0,2,67.0,0,4,13.0,1,1.17,3.0,3.0,0.0,0.0,0.4,4.2,3.3,0.9,0.42,-0.16,Matches
Noussair Mazraoui,ma MAR,DF,27-338,3,131.0,44.0,20.8,1.5,2,63.0,0,1,6.0,0,2.0,3.0,2.0,1.0,0.69,1.23,2.5,1.7,0.8,0.52,-0.01,Matches
Senne Lammens,be BEL,GK,23-103,1,90.0,90.0,14.3,1.0,1,90.0,1,0,,3,3.0,2.0,0.0,2.0,2.0,2.67,1.8,0.7,1.2,1.17,0.74,Matches
Kobbie Mainoo,eng ENG,MF,20-182,5,117.0,23.0,18.6,1.3,0,,0,5,23.0,2,1.8,2.0,4.0,-2.0,-1.54,-1.54,4.6,2.7,2.0,1.51,1.2,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,3,77.0,26.0,12.2,0.9,0,,0,3,26.0,4,1.0,2.0,3.0,-1.0,-1.17,-1.01,4.4,1.5,2.9,3.38,3.24,Matches
Ayden Heaven,eng ENG,DF,19-026,1,4.0,4.0,0.6,0.0,0,,0,1,4.0,6,1.0,0.0,0.0,0.0,0.0,0.29,0.1,0.0,0.1,1.54,1.01,Matches
Tyler Fredricson,eng ENG,DF,20-237,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Tom Heaton,eng ENG,GK,39-186,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Diego León,py PAR,DF,18-198,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
André Onana,cm CMR,GK,29-199,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.3,7,630.0,90.0,100.0,7.0,77,81.0,45,31,22.0,32,1.43,9.0,11.0,-2.0,-0.29,,13.6,9.9,3.7,0.53,,
Opponent Total,,,26.1,7,630.0,90.0,100.0,7.0,77,81.0,44,32,25.0,31,1.43,11.0,9.0,2.0,0.29,,9.9,13.6,-3.7,-0.53,,
