Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Đorđe Petrović,rs SRB,GK,26-010,7.0,210,147,60,10,0,0,0,0,0,0,0,0,145,3,0,Matches
Antoine Semenyo,gh GHA,"FW,MF",25-284,7.0,219,192,26,0,0,0,9,26,0,0,0,0,147,1,3,Matches
Adrien Truffert,fr FRA,DF,23-332,7.0,366,312,54,5,0,0,35,49,0,0,0,0,294,0,8,Matches
Marcos Senesi,ar ARG,DF,28-161,6.9,450,417,28,18,2,0,9,5,0,0,0,0,349,5,5,Matches
Evanilson,br BRA,FW,26-012,6.8,106,101,4,0,0,0,1,0,0,0,0,0,89,1,4,Matches
Tyler Adams,us USA,MF,26-246,6.7,343,328,15,15,0,2,0,0,0,0,0,0,286,0,9,Matches
Bafodé Diakité,fr FRA,DF,24-285,6.0,314,303,11,11,0,1,0,0,0,0,0,0,279,0,2,Matches
Marcus Tavernier,eng ENG,MF,26-210,5.5,211,193,16,1,3,1,13,6,7,3,2,0,164,2,6,Matches
David Brooks,wls WAL,"FW,MF",28-102,5.0,210,189,19,3,2,1,28,5,11,11,0,0,145,2,7,Matches
Alex Scott,eng ENG,MF,22-058,5.0,250,225,25,6,1,2,18,1,14,11,1,0,203,0,5,Matches
Adam Smith,eng ENG,DF,34-172,2.3,87,71,16,4,0,0,2,12,0,0,0,0,69,0,1,Matches
James Hill,eng ENG,DF,23-281,2.9,139,114,25,1,0,0,6,24,0,0,0,0,94,0,5,Matches
Álex Jiménez,es ESP,DF,20-163,1.7,102,80,21,3,0,0,3,18,0,0,0,0,82,1,5,Matches
Justin Kluivert,nl NED,MF,26-166,1.8,72,61,11,2,2,0,7,0,5,4,0,0,52,0,2,Matches
Ryan Christie,sct SCO,MF,30-238,1.7,96,94,2,2,2,0,4,0,0,0,0,0,72,0,5,Matches
Amine Adli,ma MAR,"FW,MF",25-161,1.7,74,68,6,0,1,1,7,4,2,2,0,0,54,0,4,Matches
Veljko Milosavljević,rs SRB,DF,18-112,1.1,42,42,0,0,0,0,0,0,0,0,0,0,35,0,0,Matches
Ben Gannon-Doak,sct SCO,FW,19-341,0.3,13,13,0,0,0,0,1,0,0,0,0,0,11,0,0,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-117,0.3,9,8,1,0,0,0,0,0,0,0,0,0,4,0,1,Matches
Hamed Junior Traorè,ci CIV,MF,25-244,0.2,3,2,1,0,0,0,1,0,1,1,0,0,2,0,0,Matches
Ben Winterburn,eng ENG,MF,21-044,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Lewis Cook,eng ENG,MF,28-257,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Julio Soler,ar ARG,FW,20-244,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,7.0,3319,2963,341,81,13,8,144,150,40,32,3,0,2577,15,72,
Opponent Total,,,27.2,7.0,3181,2825,346,94,8,9,120,151,25,14,9,0,2443,10,71,
