Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
James Garner,eng ENG,"MF,DF",24-219,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.57,9.0,7.0,2.0,0.29,,9.7,9.5,0.2,0.03,,Matches
Jake O'Brien,ie IRL,DF,24-156,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.57,9.0,7.0,2.0,0.29,,9.7,9.5,0.2,0.03,,Matches
Jordan Pickford,eng ENG,GK,31-225,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.57,9.0,7.0,2.0,0.29,,9.7,9.5,0.2,0.03,,Matches
James Tarkowski,eng ENG,DF,32-333,7,630.0,90.0,100.0,7.0,7,90.0,7,0,,0,1.57,9.0,7.0,2.0,0.29,,9.7,9.5,0.2,0.03,,Matches
Idrissa Gana Gueye,sn SEN,MF,36-022,7,615.0,88.0,97.6,6.8,7,88.0,6,0,,0,1.57,9.0,6.0,3.0,0.44,6.44,9.6,9.1,0.6,0.08,2.25,Matches
Michael Keane,eng ENG,DF,32-280,7,604.0,86.0,95.9,6.7,7,86.0,6,0,,0,1.57,7.0,7.0,0.0,0.0,-6.92,8.0,9.2,-1.2,-0.18,-4.98,Matches
Iliman Ndiaye,sn SEN,FW,25-226,7,586.0,84.0,93.0,6.5,7,84.0,2,0,,0,1.57,9.0,7.0,2.0,0.31,0.31,9.2,8.3,1.0,0.15,1.73,Matches
Jack Grealish,eng ENG,FW,30-038,7,556.0,79.0,88.3,6.2,6,89.0,4,1,20.0,0,1.57,9.0,7.0,2.0,0.32,0.32,9.6,8.5,1.1,0.19,1.35,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-042,6,540.0,90.0,85.7,6.0,6,90.0,6,0,,0,1.33,7.0,6.0,1.0,0.17,-0.83,7.7,8.0,-0.3,-0.05,-0.55,Matches
Beto,gw GNB,FW,27-260,7,424.0,61.0,67.3,4.7,5,70.0,1,2,36.0,0,1.57,6.0,5.0,1.0,0.21,-0.22,7.7,6.5,1.2,0.25,0.69,Matches
