Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Gabriel Magalhães,br BRA,DF,27-303,7.0,0,0,0,3,9,0,0,8,6,0,0,0,13,19,14,57.6,Matches
David Raya,es ESP,GK,30-033,7.0,1,0,0,0,1,0,0,0,0,0,0,0,15,1,0,100.0,Matches
Viktor Gyökeres,se SWE,FW,27-136,6.4,1,0,0,5,9,2,3,0,2,0,0,0,14,12,20,37.5,Matches
Riccardo Calafiori,it ITA,DF,23-152,5.8,3,0,0,11,5,1,12,4,7,0,0,0,24,9,8,52.9,Matches
Martín Zubimendi,es ESP,MF,26-258,6.6,1,0,0,10,1,0,3,7,9,0,0,0,24,10,7,58.8,Matches
Declan Rice,eng ENG,MF,26-277,6.0,0,0,0,5,0,0,39,3,3,0,0,0,29,4,5,44.4,Matches
Jurriën Timber,nl NED,DF,24-123,5.8,2,0,0,9,8,0,11,6,14,1,0,0,18,6,6,50.0,Matches
William Saliba,fr FRA,DF,24-208,4.5,0,0,0,5,3,0,1,3,3,0,0,0,20,14,7,66.7,Matches
Bukayo Saka,eng ENG,FW,24-043,3.8,0,0,0,7,9,3,20,1,2,0,0,0,18,1,4,20.0,Matches
Noni Madueke,eng ENG,FW,23-222,3.4,0,0,0,5,4,0,26,1,2,0,0,0,10,3,2,60.0,Matches
Martin Ødegaard,no NOR,MF,26-305,2.3,0,0,0,2,3,0,5,1,1,0,0,0,10,1,1,50.0,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,3.5,0,0,0,2,3,1,2,1,3,0,0,0,12,4,4,50.0,Matches
Leandro Trossard,be BEL,FW,30-318,3.3,0,0,0,1,2,1,13,2,3,0,0,0,4,0,1,0.0,Matches
Mikel Merino,es ESP,MF,29-118,2.7,0,0,0,6,5,0,2,3,1,0,0,0,15,4,6,40.0,Matches
Cristhian Mosquera,es ESP,DF,21-113,2.8,0,0,0,0,0,1,0,5,6,0,0,0,10,1,4,20.0,Matches
Gabriel Martinelli,br BRA,FW,24-122,2.1,0,0,0,1,3,0,5,0,2,0,0,0,9,0,0,,Matches
Ben White,eng ENG,DF,28-010,0.8,0,0,0,2,0,0,1,1,1,0,0,0,4,2,1,66.7,Matches
Ethan Nwaneri,eng ENG,MF,18-211,1.7,0,0,0,1,0,0,2,0,0,0,0,0,7,1,3,25.0,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,1.0,1,0,0,4,2,0,0,1,1,0,0,0,6,0,2,0.0,Matches
Kai Havertz,de GER,FW,26-129,0.3,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,50.0,Matches
Max Dowman,eng ENG,FW,15-291,0.3,0,0,0,0,2,0,0,0,2,1,0,0,1,0,0,,Matches
Squad Total,,,26.1,7.0,9,0,0,79,71,9,145,47,68,2,0,0,265,94,97,49.2,
Opponent Total,,,26.6,7.0,12,0,0,71,76,6,70,53,64,0,2,0,240,97,94,50.8,
