Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Tijjani Reijnders,nl NED,MF,27-081,6.7,13,1.93,12,1,0,0,0,0,3,0.44,3,0,0,0,0,0,Matches
Erling Haaland,no NOR,FW,25-089,6.6,12,1.82,8,0,2,2,0,0,2,0.3,2,0,0,0,0,0,Matches
Rúben Dias,pt POR,DF,28-157,6.1,1,0.16,1,0,0,0,0,0,1,0.16,1,0,0,0,0,0,Matches
Nico O’Reilly,eng ENG,"DF,MF",20-211,4.4,8,1.84,6,0,0,2,0,0,0,0.0,0,0,0,0,0,0,Matches
Jeremy Doku,be BEL,"MF,FW",23-144,4.3,26,6.03,18,0,7,1,0,0,3,0.7,2,0,1,0,0,0,Matches
Bernardo Silva,pt POR,MF,31-069,4.1,11,2.65,9,2,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
Oscar Bobb,no NOR,"FW,MF",22-098,4.0,18,4.48,13,0,4,0,1,0,3,0.75,2,0,1,0,0,0,Matches
Gianluigi Donnarumma,it ITA,GK,26-235,4.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Phil Foden,eng ENG,MF,25-143,3.9,12,3.06,5,5,0,2,0,0,1,0.25,1,0,0,0,0,0,Matches
Joško Gvardiol,hr CRO,DF,23-268,3.8,4,1.06,4,0,0,0,0,0,2,0.53,2,0,0,0,0,0,Matches
Rodri,es ESP,MF,29-118,3.2,5,1.54,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás González,es ESP,MF,23-288,3.9,9,2.29,8,0,0,1,0,0,2,0.51,2,0,0,0,0,0,Matches
Matheus Nunes,pt POR,DF,27-052,3.7,1,0.27,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
James Trafford,eng ENG,GK,23-008,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
John Stones,eng ENG,DF,31-143,2.9,2,0.68,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Abdukodir Khusanov,uz UZB,DF,21-231,2.5,1,0.39,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rayan Aït-Nouri,dz ALG,DF,24-134,2.2,4,1.78,4,0,0,0,0,0,1,0.45,1,0,0,0,0,0,Matches
Rico Lewis,eng ENG,DF,20-331,1.9,5,2.66,5,0,0,0,0,0,2,1.07,2,0,0,0,0,0,Matches
Sávio,br BRA,MF,21-191,1.9,5,2.66,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Omar Marmoush,eg EGY,"FW,MF",26-253,1.7,7,4.23,3,0,2,1,1,0,2,1.21,1,0,1,0,0,0,Matches
Rayan Cherki,fr FRA,"MF,FW",22-062,0.8,3,3.8,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nathan Aké,nl NED,DF,30-242,1.3,2,1.57,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.6,7.0,149,21.29,114,8,16,9,2,0,23,3.29,20,0,3,0,0,0,
Opponent Total,,,26.6,7.0,124,17.71,93,6,7,10,4,4,10,1.43,7,0,1,1,0,1,
