Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Matthijs de Ligt,nl NED,DF,26-067,7.0,15,12,9,6,0,12,15,80.0,3,8,5,3,8,23,37,1,Matches
Bruno Fernandes,pt POR,MF,31-040,7.0,14,7,6,6,2,8,21,38.1,13,5,1,4,2,16,15,0,Matches
Luke Shaw,eng ENG,DF,30-098,6.7,14,7,6,8,0,6,9,66.7,3,7,0,7,5,19,16,0,Matches
Bryan Mbeumo,cm CMR,MF,26-072,6.6,2,1,2,0,0,0,3,0.0,3,5,0,5,1,3,1,0,Matches
Altay Bayındır,tr TUR,GK,27-187,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,Matches
Patrick Dorgu,dk DEN,DF,20-357,5.2,15,12,8,4,3,11,14,78.6,3,5,1,4,7,22,9,0,Matches
Leny Yoro,fr FRA,DF,19-339,5.0,7,4,5,2,0,3,5,60.0,2,2,1,1,9,16,19,1,Matches
Amad Diallo,ci CIV,"DF,MF",23-099,5.0,12,8,1,6,5,3,7,42.9,4,4,0,4,2,14,10,0,Matches
Casemiro,br BRA,MF,33-237,3.6,9,5,4,4,1,5,8,62.5,3,6,2,4,2,11,4,0,Matches
Benjamin Šeško,si SVN,FW,22-140,4.3,3,1,0,3,0,2,2,100.0,0,3,0,3,1,4,5,0,Matches
Matheus Cunha,br BRA,"MF,FW",26-144,3.9,4,2,1,2,1,3,7,42.9,4,5,1,4,2,6,1,0,Matches
Diogo Dalot,pt POR,DF,26-214,3.7,5,1,4,0,1,2,2,100.0,0,1,0,1,3,8,11,1,Matches
Mason Mount,eng ENG,MF,26-281,3.0,6,3,3,3,0,3,7,42.9,4,3,0,3,1,7,0,0,Matches
Manuel Ugarte,uy URU,MF,24-190,2.7,12,9,6,5,1,6,8,75.0,2,4,1,3,2,14,6,0,Matches
Harry Maguire,eng ENG,DF,32-227,2.0,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,10,1,Matches
Noussair Mazraoui,ma MAR,DF,27-338,1.5,8,5,3,4,1,5,5,100.0,0,3,0,3,2,10,5,0,Matches
Senne Lammens,be BEL,GK,23-103,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Kobbie Mainoo,eng ENG,MF,20-182,1.3,5,3,0,4,1,1,1,100.0,0,0,0,0,0,5,1,0,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-149,0.9,0,0,0,0,0,0,1,0.0,1,4,2,2,0,0,0,0,Matches
Ayden Heaven,eng ENG,DF,19-026,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,26.3,7.0,132,81,58,58,16,71,117,60.7,46,65,14,51,49,181,158,5,
Opponent Total,,,26.1,7.0,112,69,56,45,11,55,91,60.4,36,82,26,56,56,168,207,3,
